id	label	value	color	category
Amiodarone	Amiodarone	0.104443135500343	#FFB6AD	Cardiovascular agents
Digoxin	Digoxin	0.133929602268484	#FFB6AD	Cardiovascular agents
Mesalazine	Mesalazine	0.0532880466410606	#FBAF5F	Gastrointestinal agents
Trimethoprim	Trimethoprim	0.0234261289918927	#EC00BC	Anti-infectives
Omeprazole	Omeprazole	0.0277906416619765	#FBAF5F	Gastrointestinal agents
Acetylsalicylic acid	Acetylsalicylic acid	0.0304079817855757	#F68B69	CNS agents
Haloperidol	Haloperidol	0.0481773347018195	#AEC6CC	Psychotherapeutic agents
Rivastigmine	Rivastigmine	0.0666719591151569	#F68B69	CNS agents
Allopurinol	Allopurinol	0.0169296041520781	#A1CE5E	Metabolic agents
Acetaminophen	Acetaminophen	0.0104693709491142	#F68B69	CNS agents
Pravastatin	Pravastatin	0.0126590587048454	#A1CE5E	Metabolic agents
Donepezil	Donepezil	0.0919863697655006	#F68B69	CNS agents
Prednisone	Prednisone	0.0361932792283233	#FFEF6C	Hormones
Risperidone	Risperidone	0.0305752655133558	#AEC6CC	Psychotherapeutic agents
Trazodone	Trazodone	0.023845185165075	#AEC6CC	Psychotherapeutic agents
Warfarin	Warfarin	0.136068886476053	#E43E22	Coagulation modifiers
Spironolactone	Spironolactone	0.0688867737326476	#FFB6AD	Cardiovascular agents
Fenofibrate	Fenofibrate	0.100174588868686	#A1CE5E	Metabolic agents
Diltiazem	Diltiazem	0.0838237394009783	#FFB6AD	Cardiovascular agents
Bisoprolol	Bisoprolol	0.0287418865547527	#FFB6AD	Cardiovascular agents
Carbamazepine	Carbamazepine	0.214337895442808	#F68B69	CNS agents
Indomethacin	Indomethacin	0.0768884633711437	#F68B69	CNS agents
Galantamine	Galantamine	0.0912764656656362	#F68B69	CNS agents
Entacapone	Entacapone	0.00137446166917957	#F68B69	CNS agents
Valproic acid	Valproic acid	0.0406948924974463	#F68B69	CNS agents
Levofloxacin	Levofloxacin	0.0129824868777677	#EC00BC	Anti-infectives
Simvastatin	Simvastatin	0.0102255831620673	#A1CE5E	Metabolic agents
Fluvoxamine	Fluvoxamine	0.0685364995086464	#AEC6CC	Psychotherapeutic agents
Methotrexate	Methotrexate	0.262782901973892	#FAC6CC	Antineoplastics
Ciprofloxacin	Ciprofloxacin	0.0132388327974411	#EC00BC	Anti-infectives
Lamotrigine	Lamotrigine	0.0242266767211471	#F68B69	CNS agents
Levothyroxine	Levothyroxine	0.0151140175597544	#FFEF6C	Hormones
Pentoxifylline	Pentoxifylline	0.0100497658116257	#E43E22	Coagulation modifiers
Repaglinide	Repaglinide	0.0395771581578654	#A1CE5E	Metabolic agents
Carvedilol	Carvedilol	0.0547558125750218	#FFB6AD	Cardiovascular agents
Propafenone	Propafenone	0.0668675064417703	#FFB6AD	Cardiovascular agents
Atenolol	Atenolol	0.0337022371344856	#FFB6AD	Cardiovascular agents
Phenytoin	Phenytoin	0.208334117180808	#F68B69	CNS agents
Gliclazide	Gliclazide	0.0883099694413792	#A1CE5E	Metabolic agents
Citalopram	Citalopram	0.0247964300146201	#AEC6CC	Psychotherapeutic agents
Propranolol	Propranolol	0.0799622269656311	#FFB6AD	Cardiovascular agents
Ramipril	Ramipril	0.00415009743909851	#FFB6AD	Cardiovascular agents
Cyclosporine	Cyclosporine	0.264097297962917	#CED75C	Immunologic agents
Atorvastatin	Atorvastatin	0.0164088544406	#A1CE5E	Metabolic agents
Salmeterol	Salmeterol	0.0121218676088993	#1A86A8	Respiratory agents
Tacrolimus	Tacrolimus	0.049449623900166	#CED75C	Immunologic agents
Furosemide	Furosemide	0.0163798813485178	#FFB6AD	Cardiovascular agents
Fluoxetine	Fluoxetine	0.0429938248109156	#AEC6CC	Psychotherapeutic agents
Ranitidine	Ranitidine	0.0105614095537872	#FBAF5F	Gastrointestinal agents
