drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Mesalazine	Azathioprine	0.406	-1.29	Moderate	518 (244/274)	The metabolism of Azathioprine can be decreased when combined with Mesalazine.	#B2D0E5	50.8932352279437	0
Haloperidol	Biperiden	0.48	-3.059	Moderate	315 (86/229)		#A3C5DF	30.9485889899658	0
Digoxin	Carvedilol	0.444	-1.455	Moderate	34 (15/19)	Digoxin may increase the bradycardic activities of Carvedilol.	#B1CFE5	3.34048262113916	5.10961918205358e-76
Carbamazepine	Levetiracetam	0.477	-1.175	Moderate	269 (133/136)	The risk or severity of adverse effects can be increased when Carbamazepine is combined with Levetiracetam.	#B4D1E6	26.4291125025422	0
Indomethacin	Methotrexate	0.339	1.424	Major	261 (162/99)	The serum concentration of Methotrexate can be increased when it is combined with Indomethacin.	#F7B9B9	25.6431165916859	2.36791958794022e-275
Digoxin	Furosemide	0.503	1.068	Moderate	49 (27/22)	The risk or severity of adverse effects can be increased when Furosemide is combined with Digoxin.	#F9BCBC	4.81422495399468	1.26264596591656e-92
Omeprazole	Diazepam	0.487	1.241	Moderate	12748 (7492/5256)	The metabolism of Diazepam can be decreased when combined with Omeprazole.	#F8BABA	1252.48448394947	1
Amiodarone	Acenocoumarol	0.463	-2.106	None	51 (18/33)	The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Amiodarone.	#ACCCE3	5.01072393170875	1.19740546085449e-100
Digoxin	Spironolactone	0.475	-1.768	Minor	33 (13/20)	The serum concentration of Digoxin can be increased when it is combined with Spironolactone.	#AECDE3	3.24223313228213	2.33116578201134e-71
Methotrexate	Hydroxychloroquine	0.319	6.428	Minor	109 (96/13)		#E48E8E	10.7091942854167	8.09851024866095e-129
Lamotrigine	Carbamazepine	0.459	-1.065	Moderate	158 (82/76)	The risk or severity of adverse effects can be increased when Lamotrigine is combined with Carbamazepine.	#B4D1E6	15.5234192394114	6.98934650402076e-160
Digoxin	Amiodarone	0.29	-1.723	Major	10 (4/6)	The serum concentration of Digoxin can be increased when it is combined with Amiodarone.	#AFCEE4	0.982494888570342	9.90846405590128e-21
Omeprazole	Alprazolam	0.32	1.536	Moderate	5930 (3785/2145)	The metabolism of Alprazolam can be decreased when combined with Omeprazole.	#F7B9B9	582.619468922213	1
Warfarin	Amiodarone	0.247	2.176	Major	7 (5/2)	The therapeutic efficacy of Warfarin can be increased when used in combination with Amiodarone.	#F5B2B2	0.68774642199924	2.4045450543757e-11
Trimethoprim	Leucovorin	0.61	-2.619	Major	246 (75/171)		#A8C8E1	24.1693742588304	0
Pravastatin	Fenofibrate	0.846	-4.716	Major	97 (19/78)	The risk or severity of myopathy and rhabdomyolysis can be increased when Fenofibrate is combined with Pravastatin.	#96BBD9	9.53020041913232	1.74716006690895e-142
Valproic acid	Carbamazepine	0.528	-2.044	Moderate	264 (95/169)	The serum concentration of the active metabolites of Carbamazepine can be increased when Carbamazepine is used in combination with Valproic Acid.	#ACCCE3	25.937865058257	1.07304380493818e-235
Ethinylestradiol	Amoxicillin	0.179	1172.229	Moderate	5391 (5387/4)		#B32020	529.662994428272	1
Fluvoxamine	Clomipramine	0.415	-2.164	Major	124 (43/81)	The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Clomipramine.	#ABCBE2	12.1829366182722	4.94655966895944e-144
Haloperidol	Lithium cation	0.39	-1.547	Major	61 (26/35)	Lithium may increase the neurotoxic activities of Haloperidol.	#B1CFE5	5.99321882027909	3.66012813492573e-68
Propranolol	Rizatriptan	0.409	3.416	Moderate	261 (208/53)	The serum concentration of Rizatriptan can be increased when it is combined with Propranolol.	#F0A7A7	25.6431165916859	2.41625314528163e-133
Carbamazepine	Risperidone	0.401	-1.908	Moderate	157 (59/98)	The serum concentration of Risperidone can be decreased when it is combined with Carbamazepine.	#AECDE3	15.4251697505544	4.7604997998503e-118
Trihexyphenidyl	Haloperidol	0.674	-3.83	Moderate	26 (6/20)		#9DC0DC	2.55448671028289	6.07461493270461e-48
