drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Alteplase	Nitroglycerin	0.776	-1.719	Moderate	16 (7/9)	IV nitroglycerin decreases the effect	#ACCCE3	5.91315788501125	1
Insulin lispro	Esmolol	0.521	-1.495	Moderate	197 (93/104)		#AFCEE4	72.8057564592011	3.5605410263682e-54
Insulin lispro	Doxycycline	0.689	-1.028	Moderate	513 (290/223)		#B4D1E6	189.590624688173	1.1432259312273e-06
Insulin lispro	Atenolol	0.895	1.17	Moderate	141 (86/55)		#F8BABA	52.1097038616617	0.00105200183306823
Insulin lispro	Bisoprolol	0.803	-2.005	Moderate	5 (2/3)		#A9C9E1	1.84786183906602	1
Insulin lispro	Demeclocycline	1	2.992	Moderate	5 (4/1)		#EFA6A6	1.84786183906602	1
Insulin lispro	Tetracycline	0.767	Inf	Moderate	4 (4/0)		#B32020	1.47828947125281	1
Insulin lispro	Acetylsalicylic acid	0.92	-1.274	Moderate	3853 (1973/1880)		#B2D0E5	1423.96233318427	0
Insulin lispro	Carvedilol	0.904	-1.339	Moderate	1361 (680/681)		#B1CFE5	502.98799259377	0
Insulin lispro	Acebutolol	1	Inf	Moderate	1 (1/0)		#B32020	0.369572367813203	1
Insulin lispro	Bismuth subsalicylate	0.915	1.309	Moderate	11 (7/4)	The salicylate increase the effect of insulin	#F7B9B9	4.06529604594524	1
Insulin glargine	Esmolol	0.479	-1.926	Moderate	83 (34/49)		#ABCBE2	30.6745065284959	1.05796249679358e-06
Insulin glargine	Doxycycline	0.619	-1.073	Moderate	384 (213/171)		#B4D1E6	141.91578924027	0.00246687323009276
Insulin glargine	Metoprolol	0.831	-1.317	Moderate	1600 (806/794)		#B1CFE5	591.315788501125	0
Insulin glargine	Atenolol	0.661	1.254	Moderate	99 (62/37)		#F8BABA	36.5876644135071	1
Insulin glargine	Timolol	0.962	-1.559	Moderate	26 (12/14)		#AECDE3	9.60888156314329	1
Insulin glargine	Sotalol	0.842	-1.671	Moderate	18 (8/10)		#AECDE3	6.65230262063766	1
Insulin glargine	Propranolol	0.834	-1.017	Moderate	81 (46/35)		#B4D1E6	29.9353617928695	1
Insulin glargine	Labetalol	0.782	1.164	Moderate	207 (126/81)		#F8BABA	76.5014801373331	2.76136258954555e-26
Insulin glargine	Bisoprolol	0.579	-1.782	Moderate	7 (3/4)		#ACCCE3	2.58700657469242	1
Insulin glargine	Demeclocycline	1	Inf	Moderate	2 (2/0)		#B32020	0.739144735626407	1
Insulin glargine	Tetracycline	0.533	Inf	Moderate	2 (2/0)		#B32020	0.739144735626407	1
Insulin glargine	Acetylsalicylic acid	0.855	-1.314	Moderate	2463 (1242/1221)		#B1CFE5	910.25674192392	0
Insulin glargine	Pindolol	1	Inf	Moderate	1 (1/0)		#B32020	0.369572367813203	1
Insulin glargine	Minocycline	0.747	-1.604	Moderate	11 (5/6)		#AECDE3	4.06529604594524	1
Insulin glargine	Carvedilol	0.841	-1.405	Moderate	925 (451/474)		#B1CFE5	341.854440227213	0
Insulin glargine	Acebutolol	1	Inf	Moderate	1 (1/0)		#B32020	0.369572367813203	1
Insulin glargine	Nadolol	0.68	1.496	Moderate	6 (4/2)		#F7B7B7	2.21743420687922	1
Insulin glargine	Bismuth subsalicylate	0.616	-2.005	Moderate	5 (2/3)	The salicylate increase the effect of insulin	#A9C9E1	1.84786183906602	1
Cyclosporine	Pravastatin	0.86	-3.119	Major	10 (3/7)	Possible myopathy and rhabdomyolysis	#9DC0DC	3.69572367813203	1
Cyclosporine	Fluconazole	0.779	1.122	Moderate	10 (6/4)	Fluconazole increases the effect of the immunosuppressant	#F9BCBC	3.69572367813203	1
Cyclosporine	Azithromycin	0.775	-2.941	Moderate	16 (5/11)	The macrolide increases the effect of cyclosporine	#9FC1DD	5.91315788501125	1
Cyclosporine	Omeprazole	0.673	-3.565	Moderate	11 (3/8)	Omeprazole increases the effect and toxicity of cyclosporine	#99BDDA	4.06529604594524	1
Cyclosporine	Diltiazem	1	-1.337	Moderate	2 (1/1)	Diltiazem increases the effect and toxicity of cyclosporine	#B1CFE5	0.739144735626407	1
Cyclosporine	Allopurinol	0.722	-10.694	Moderate	9 (1/8)	Allopurinol increases the effect and toxicity of cyclosporine	#4A82B8	3.32615131031883	1
Cyclosporine	Ciprofloxacin	0.665	-6.015	Moderate	11 (2/9)	The quinolone increases the effect and toxicity of cyclosporine	#7DA8CE	4.06529604594524	1
Cyclosporine	Methotrexate	1	-2.673	Moderate	3 (1/2)	Increases the effect and toxicity of methotrexate	#A2C4DE	1.10871710343961	1
Cyclosporine	Voriconazole	0.831	-2.673	Major	6 (2/4)	Voriconazole increases the effect and toxicity of cyclosporine	#A2C4DE	2.21743420687922	0.000117456093688131
Cyclosporine	Sevelamer	0.854	-2.005	Moderate	5 (2/3)	Sevelamer decreases the effect of cyclosporine	#A9C9E1	1.84786183906602	1
Cyclosporine	Amphotericin B	1	Inf	Moderate	1 (1/0)	Monitor for nephrotoxicity	#B32020	0.369572367813203	1
Cyclosporine	Tacrolimus	0.88	1.247	Major	8 (5/3)	Additive toxicities for these agents	#F8BABA	2.95657894250563	1
Cyclosporine	Sirolimus	0.7	-2.673	Moderate	3 (1/2)	Increases the effect and toxicity of sirolimus	#A2C4DE	1.10871710343961	1
Cyclosporine	Ezetimibe	1	Inf	Moderate	1 (1/0)	Increases the effect and toxicity of ezetimibe	#B32020	0.369572367813203	1
Cyclosporine	Ethinylestradiol	1	Inf	Moderate	1 (1/0)	The contraceptive increases the effect and toxicity of cyclosporine	#B32020	0.369572367813203	1
Cyclosporine	Sulfamethoxazole	0.795	-1.248	Major	29 (15/14)	The sulfonamide decreases the effect of cyclosporine	#B2D0E5	10.7175986665829	1
Cyclosporine	Atorvastatin	0.917	1.02	Major	26 (15/11)	Possible myopathy and rhabdomyolysis	#F9BCBC	9.60888156314329	1
Cyclosporine	Rosuvastatin	0.506	-1.337	Major	6 (3/3)	Increases the effect and toxicity of rosuvastatin	#B1CFE5	2.21743420687922	1
Cyclosporine	Nifedipine	1	-1.782	Moderate	7 (3/4)	Increased risk of gingivitis	#ACCCE3	2.58700657469242	1
Cyclosporine	Carvedilol	0.751	-1.782	Moderate	14 (6/8)	Carvedilol increases the effect and toxicity of cyclosporine	#ACCCE3	5.17401314938485	1
Cyclosporine	Bupropion	0.521	-1.337	Moderate	2 (1/1)	Bupropion decreases the effect of cyclosporine	#B1CFE5	0.739144735626407	1
Cyclosporine	Itraconazole	1	Inf	Major	1 (1/0)	The imidazole increases the effect of immunosuppressant	#B32020	0.369572367813203	1
Cyclosporine	Clindamycin	0.844	-1.671	Moderate	9 (4/5)	Clindamycin decreases the effect of cyclosporine	#AECDE3	3.32615131031883	1
Cyclosporine	Colchicine	0.748	-2.673	Major	3 (1/2)	Increased toxicity of both drugs	#A2C4DE	1.10871710343961	1
Cyclosporine	Ursodeoxycholic acid	1	-5.347	Minor	5 (1/4)	Ursodiol increases the levels of cyclosporine	#85AED1	1.84786183906602	1
Oxytocin	Phenylephrine	0.963	138.101	Moderate	928 (923/5)	Possible marked increase of arterial pressure	#B32020	342.963157330653	8.28252625690248e-217
Oxytocin	Epinephrine	0.836	Inf	Moderate	214 (214/0)	Possible marked increase of arterial pressure	#B32020	79.0884867120255	1
Folic acid	Butalbital	0.793	-1.273	None	41 (21/20)	Folic acid decreases the effect of anticonvulsant	#B2D0E5	15.1524670803413	1
Folic acid	Phenytoin	0.909	-1.838	Moderate	19 (8/11)	Folic acid decreases the levels of hydantoin	#ABCBE2	7.02187498845086	0.255595658164363
Folic acid	Primidone	0.8	-1.485	Moderate	19 (9/10)	Folic acid decreases the effect of anticonvulsant	#AFCEE4	7.02187498845086	0.255595658164363
Folic acid	Phenobarbital	0.738	-2.339	Moderate	22 (8/14)	Folic acid decreases the effect of anticonvulsant	#A6C7E0	8.13059209189047	4.884687176214e-05
Folic acid	Fosphenytoin	1	-4.456	Moderate	13 (3/10)	Folic acid decreases the levels of hydantoin	#8EB5D5	4.80444078157164	0.0326877157236797
Pravastatin	Fenofibrate	0.869	-1.27	Major	78 (40/38)	Increased risk of myopathy/rhabdomyolysis	#B2D0E5	28.8266446894299	7.78501812893566e-14
Pravastatin	Gemfibrozil	0.856	-1.504	Major	17 (8/9)	Increased risk of myopathy/rhabdomyolysis	#AFCEE4	6.28273025282446	0.046143566180608
Pravastatin	Colchicine	0.786	-1.748	Major	30 (13/17)	Increased risk of rhabdomyolysis with this combination	#ACCCE3	11.0871710343961	1
Fluvoxamine	Amphetamine	0.366	-1.337	Major	4 (2/2)	Risk of serotoninergic syndrome	#B1CFE5	1.47828947125281	1
Fluvoxamine	Phentermine	0.032	Inf	Major	1 (1/0)	Risk of serotoninergic syndrome	#B32020	0.369572367813203	1
Fluvoxamine	Tramadol	1	-1.337	Major	2 (1/1)	Increased risk of serotonin syndrome	#B1CFE5	0.739144735626407	1
Fluvoxamine	Ropinirole	1	Inf	Moderate	1 (1/0)	Increases the effect and toxicity of ropinirole	#B32020	0.369572367813203	1
Fluvoxamine	Olanzapine	0.83	-4.01	Moderate	4 (1/3)	Fluvoxamine increases the effect and toxicity of olanzapine	#94B9D8	1.47828947125281	1
Fluvoxamine	Clozapine	1	-1.337	Moderate	2 (1/1)	The antidepressant increases the effect of clozapine	#B1CFE5	0.739144735626407	1
Fluvoxamine	Mirtazapine	1	Inf	Major	2 (2/0)	Increases the effect adn toxicity of mirtazapine	#B32020	0.739144735626407	1
Fluvoxamine	Imipramine	1	Inf	Major	1 (1/0)	Fluvoxamine increases the effect and toxicity of tricyclics	#B32020	0.369572367813203	1
Fluvoxamine	Duloxetine	0.67	Inf	Major	3 (3/0)	Fluvoxamine increases the effect and toxicity of duloxetine	#B32020	1.10871710343961	1
