drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Digoxin	Furosemide	0.314	1.174	Moderate	10444 (6548/3896)	The risk or severity of adverse effects can be increased when Furosemide is combined with Digoxin.	#F9BCBC	1932.17410287292	0
Acetaminophen	Acenocoumarol	0.245	-1.054	None	31980 (18420/13560)	Acetaminophen may increase the anticoagulant activities of Acenocoumarol.	#B4D1E6	5916.40442453809	1
Omeprazole	Alprazolam	0.309	2.068	Moderate	20365 (15223/5142)	The metabolism of Alprazolam can be decreased when combined with Omeprazole.	#F5B2B2	3767.59149798994	1
Amiodarone	Acenocoumarol	0.331	-1.287	None	5336 (2810/2526)	The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Amiodarone.	#B2D0E5	987.177423681528	0
Omeprazole	Diazepam	0.208	1.623	Moderate	16608 (11610/4998)	The metabolism of Diazepam can be decreased when combined with Omeprazole.	#F7B7B7	3072.53423022916	1
Rivastigmine	Quetiapine	0.317	1.024	Moderate	2385 (1418/967)		#F9BCBC	441.232787758704	0
Acetylsalicylic acid	Ibuprofen	0.131	-1.161	Major	21064 (11632/9432)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Ibuprofen.	#B4D1E6	3896.90878043997	1
Digoxin	Spironolactone	0.331	1.243	Minor	2760 (1767/993)	The serum concentration of Digoxin can be increased when it is combined with Spironolactone.	#F8BABA	510.609012249066	0
Donepezil	Quetiapine	0.349	1.334	Moderate	2025 (1329/696)		#F8BABA	374.631612247956	0
Risperidone	Donepezil	0.281	1.463	Moderate	1683 (1139/544)		#F7B9B9	311.360495512746	0
Acetylsalicylic acid	Gliclazide	0.371	-1.548	None	7724 (3711/4013)	Acetylsalicylic acid may increase the hypoglycemic activities of Gliclazide.	#AFCEE4	1428.96522123615	1
Trazodone	Donepezil	0.304	1.655	Moderate	1526 (1073/453)		#F7B7B7	282.314982859447	0
Alendronic acid	Ibuprofen	0.172	6.719	Moderate	5426 (4915/511)	The risk or severity of adverse effects can be increased when Ibuprofen is combined with Alendronic acid.	#E28989	1003.82771755921	1
Omeprazole	Clonazepam	0.247	1.403	Moderate	5291 (3532/1759)		#F7B9B9	978.852276742684	1
Trazodone	Rivastigmine	0.281	1.102	Moderate	1446 (885/561)		#F9BCBC	267.514721634837	0
Allopurinol	Acenocoumarol	0.298	-3.303	None	6313 (1909/4404)	Allopurinol may increase the anticoagulant activities of Acenocoumarol.	#A0C3DD	1167.92561388709	2.57115252900376e-60
Galantamine	Risperidone	0.296	1.198	Moderate	888 (561/327)		#F8BABA	164.282899593178	8.81221336693631e-300
Acetylsalicylic acid	Glyburide	0.338	-1.568	Moderate	4763 (2273/2490)	Acetylsalicylic acid may increase the hypoglycemic activities of Glyburide.	#AFCEE4	881.170552660254	1
Prednisone	Acetylsalicylic acid	0.163	-1.715	Moderate	9483 (4314/5169)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Prednisone.	#AECDE3	1754.38596491228	1
Galantamine	Quetiapine	0.343	1.008	Moderate	982 (580/402)	Galantamine may increase the QTc-prolonging activities of Quetiapine.	#F9BCBC	181.673206532095	1.84018686443422e-312
Levothyroxine	Acenocoumarol	0.296	2.019	None	3478 (2584/894)	Levothyroxine may increase the anticoagulant activities of Acenocoumarol.	#F5B4B4	643.441356739947	1
Furosemide	Ibuprofen	0.182	1.227	Moderate	8712 (5551/3161)	The therapeutic efficacy of Furosemide can be decreased when used in combination with Ibuprofen.	#F8BABA	1611.7484473601	1
Digoxin	Carvedilol	0.302	-1.187	Moderate	1617 (884/733)	Digoxin may increase the bradycardic activities of Carvedilol.	#B2D0E5	299.150280002442	2.56139522608365e-138
Citalopram	Acenocoumarol	0.321	1.39	None	3283 (2185/1098)	The metabolism of Acenocoumarol can be decreased when combined with Citalopram.	#F7B9B9	607.365720004958	1
Acetylsalicylic acid	Insulin aspart	0.297	-1.256	Moderate	2670 (1422/1248)	Acetylsalicylic acid may increase the hypoglycemic activities of Insulin Aspart.	#B2D0E5	493.958718371379	1
Acetylsalicylic acid	Insulin detemir	0.338	-1.171	Moderate	2322 (1277/1045)	Acetylsalicylic acid may increase the hypoglycemic activities of Insulin Detemir.	#B4D1E6	429.577582044323	0.097807747324462
Haloperidol	Biperiden	0.443	1.907	Moderate	235 (172/63)		#F5B4B4	43.4757673472937	1.0854577813771e-124
Omeprazole	Methotrexate	0.31	1.433	Major	1941 (1305/636)	The serum concentration of Methotrexate can be increased when it is combined with Omeprazole.	#F7B9B9	359.091337962115	1
Trazodone	Galantamine	0.293	1.111	Moderate	728 (447/281)		#F9BCBC	134.682377143957	2.14756230521162e-174
Spironolactone	Enalapril	0.311	-1.207	Major	3764 (2042/1722)	The risk or severity of adverse effects can be increased when Spironolactone is combined with Enalapril.	#B2D0E5	696.352290617929	1
Prednisone	Acenocoumarol	0.166	-1.614	None	4212 (1980/2232)		#AFCEE4	779.233753475749	1
Diclofenac	Alendronic acid	0.163	6.481	Moderate	2220 (2004/216)	The risk or severity of adverse effects can be increased when Diclofenac is combined with Alendronic acid.	#E38B8B	410.707248982945	1
Torasemide	Ibuprofen	0.173	1.374	Moderate	3925 (2602/1323)	The therapeutic efficacy of Torasemide can be decreased when used in combination with Ibuprofen.	#F7B9B9	726.137816332458	1
