drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Alteplase	Nitroglycerin	0.857	-2.683	Moderate	3 (1/2)	IV nitroglycerin decreases the effect	#7AA6CD	19.2529842125529	1
Insulin lispro	Esmolol	0.52	-1.629	Moderate	31 (14/17)		#9FC1DD	198.947503529714	0.000453491429871523
Insulin lispro	Doxycycline	0.704	1.491	Moderate	69 (46/23)		#F1ABAB	442.818636888718	1
Insulin lispro	Atenolol	1	-1.118	Moderate	22 (12/10)		#B1CFE5	141.188550892055	1
Insulin lispro	Bisoprolol	0.016	Inf	Moderate	1 (1/0)		#B32020	6.41766140418432	1
Insulin lispro	Acetylsalicylic acid	0.937	-1.274	Moderate	616 (316/300)		#ABCBE2	3953.27942497754	5.5987121452719e-87
Insulin lispro	Carvedilol	0.927	-1.108	Moderate	210 (115/95)		#B1CFE5	1347.70889487871	1.04311383900604e-38
Insulin lispro	Bismuth subsalicylate	1	Inf	Moderate	1 (1/0)	The salicylate increase the effect of insulin	#B32020	6.41766140418432	1
Insulin glargine	Esmolol	0.5	-4.696	Moderate	9 (2/7)		#3472AE	57.7589526376588	1
Insulin glargine	Doxycycline	0.59	1.412	Moderate	55 (36/19)		#F2AEAE	352.971377230137	1
Insulin glargine	Metoprolol	0.832	-1.251	Moderate	257 (133/124)		#ACCCE3	1649.33898087537	2.48805890719205e-10
Insulin glargine	Atenolol	0.726	-1.789	Moderate	14 (6/8)		#99BDDA	89.8472596585804	1
Insulin glargine	Timolol	1	-4.025	Moderate	4 (1/3)		#4B83B8	25.6706456167373	1
Insulin glargine	Sotalol	1	-1.342	Moderate	2 (1/1)		#A9C9E1	12.8353228083686	1
Insulin glargine	Propranolol	0.765	-2.348	Moderate	11 (4/7)		#86AFD2	70.5942754460275	1
Insulin glargine	Labetalol	0.844	-1.342	Moderate	16 (8/8)		#A9C9E1	102.682582466949	1
Insulin glargine	Bisoprolol	0.018	1.491	Moderate	3 (2/1)		#F1ABAB	19.2529842125529	1
Insulin glargine	Acetylsalicylic acid	0.886	-1.28	Moderate	383 (196/187)		#ABCBE2	2457.96431780259	2.85533037665683e-21
Insulin glargine	Minocycline	1	Inf	Moderate	1 (1/0)		#B32020	6.41766140418432	1
Insulin glargine	Carvedilol	0.869	-1.199	Moderate	142 (75/67)		#AECDE3	911.307919394173	2.4048954705859e-17
Insulin glargine	Bismuth subsalicylate	1	Inf	Moderate	1 (1/0)	The salicylate increase the effect of insulin	#B32020	6.41766140418432	1
Cyclosporine	Pravastatin	0.032	Inf	Major	1 (1/0)	Possible myopathy and rhabdomyolysis	#B32020	6.41766140418432	1
Cyclosporine	Fluconazole	1	Inf	Moderate	1 (1/0)	Fluconazole increases the effect of the immunosuppressant	#B32020	6.41766140418432	1
Cyclosporine	Azithromycin	1	Inf	Moderate	1 (1/0)	The macrolide increases the effect of cyclosporine	#B32020	6.41766140418432	1
Cyclosporine	Omeprazole	1	1.491	Moderate	3 (2/1)	Omeprazole increases the effect and toxicity of cyclosporine	#F1ABAB	19.2529842125529	1
Cyclosporine	Sevelamer	1	Inf	Moderate	1 (1/0)	Sevelamer decreases the effect of cyclosporine	#B32020	6.41766140418432	1
Cyclosporine	Tacrolimus	0.679	Inf	Major	3 (3/0)	Additive toxicities for these agents	#B32020	19.2529842125529	1
Cyclosporine	Ezetimibe	1	Inf	Moderate	1 (1/0)	Increases the effect and toxicity of ezetimibe	#B32020	6.41766140418432	1
Cyclosporine	Sulfamethoxazole	0.665	2.236	Major	4 (3/1)	The sulfonamide decreases the effect of cyclosporine	#E59090	25.6706456167373	1
Cyclosporine	Atorvastatin	1	1.863	Major	7 (5/2)	Possible myopathy and rhabdomyolysis	#EB9E9E	44.9236298292902	1
Cyclosporine	Rosuvastatin	0.011	Inf	Major	1 (1/0)	Increases the effect and toxicity of rosuvastatin	#B32020	6.41766140418432	1
Cyclosporine	Nifedipine	1	Inf	Moderate	1 (1/0)	Increased risk of gingivitis	#B32020	6.41766140418432	1
Cyclosporine	Carvedilol	0.694	1.118	Moderate	5 (3/2)	Carvedilol increases the effect and toxicity of cyclosporine	#F7B9B9	32.0883070209216	1
Cyclosporine	Bupropion	0.042	Inf	Moderate	1 (1/0)	Bupropion decreases the effect of cyclosporine	#B32020	6.41766140418432	1
Cyclosporine	Clindamycin	0.778	Inf	Moderate	1 (1/0)	Clindamycin decreases the effect of cyclosporine	#B32020	6.41766140418432	1
Folic acid	Phenytoin	1	-1.342	Moderate	2 (1/1)	Folic acid decreases the levels of hydantoin	#A9C9E1	12.8353228083686	1
Folic acid	Primidone	0.806	1.118	Moderate	5 (3/2)	Folic acid decreases the effect of anticonvulsant	#F7B9B9	32.0883070209216	1
Folic acid	Phenobarbital	0.39	-2.683	Moderate	3 (1/2)	Folic acid decreases the effect of anticonvulsant	#7AA6CD	19.2529842125529	1
Pravastatin	Fenofibrate	0.835	3.726	Major	6 (5/1)	Increased risk of myopathy/rhabdomyolysis	#CD5A5A	38.5059684251059	1
Pravastatin	Colchicine	1	Inf	Major	1 (1/0)	Increased risk of rhabdomyolysis with this combination	#B32020	6.41766140418432	1
Fluvoxamine	Mirtazapine	1	Inf	Major	1 (1/0)	Increases the effect adn toxicity of mirtazapine	#B32020	6.41766140418432	1
Fluvoxamine	Imipramine	1	Inf	Major	1 (1/0)	Fluvoxamine increases the effect and toxicity of tricyclics	#B32020	6.41766140418432	1
Fluvoxamine	Oxycodone	1	Inf	Moderate	1 (1/0)	Increased risk of serotonin syndrome	#B32020	6.41766140418432	1
Fluvoxamine	Cilostazol	1	Inf	Major	1 (1/0)	Fluvoxamine increases the effect of cilostazol	#B32020	6.41766140418432	1
Valsartan	Triamterene	0.903	1.118	Major	10 (6/4)	Increased risk of hyperkaliemia	#F7B9B9	64.1766140418432	1
Valsartan	Amiloride	0.505	-1.342	Major	2 (1/1)	Increased risk of hyperkaliemia	#A9C9E1	12.8353228083686	1
Ramipril	Triamterene	1	Inf	Major	1 (1/0)	Increased risk of hyperkaliemia	#B32020	6.41766140418432	1
Ramipril	Tizanidine	1	Inf	Major	1 (1/0)	Tizanidine increases the risk of hypotension with the ACE inhibitor	#B32020	6.41766140418432	1
Amphetamine	Fluoxetine	0.508	Inf	Major	2 (2/0)	Risk of serotoninergic syndrome	#B32020	12.8353228083686	1
Lorazepam	Phenytoin	0.753	-1.342	Moderate	4 (2/2)	Possible increased levels of the hydantoin, decrease of benzodiazepine	#A9C9E1	25.6706456167373	1
Lorazepam	Clozapine	1	Inf	Major	1 (1/0)	Increased risk of toxicity	#B32020	6.41766140418432	1
Lorazepam	Fosphenytoin	1	2.236	Moderate	4 (3/1)	Possible increased levels of the hydantoin, decrease of benzodiazepine	#E59090	25.6706456167373	0.497137375956613
Esmolol	Lidocaine	0.953	-1.513	Moderate	100 (47/53)	The beta-blocker increases the effect and toxicity of lidocaine	#A3C5DF	641.766140418432	1.183588914658e-28
Esmolol	Clonidine	0.5	-2.683	Major	3 (1/2)	Increased hypertension when clonidine stopped	#7AA6CD	19.2529842125529	1
Esmolol	Epinephrine	0.897	-1.83	Moderate	26 (11/15)	Hypertension, then bradycardia	#99BDDA	166.859196508792	1
Esmolol	Salmeterol	0.5	Inf	Moderate	2 (2/0)	Antagonism	#B32020	12.8353228083686	1
Esmolol	Salbutamol	0.629	1.242	Moderate	8 (5/3)	Antagonism	#F5B4B4	51.3412912334745	1
Esmolol	Ibuprofen	0.315	Inf	Moderate	4 (4/0)	Risk of inhibition of renal prostaglandins	#B32020	25.6706456167373	1
Phentermine	Venlafaxine	0.032	Inf	Major	1 (1/0)	Risk of serotoninergic syndrome	#B32020	6.41766140418432	1
Tramadol	Citalopram	0.682	2.733	Major	14 (11/3)	Increased risk of serotonin syndrome	#DD7E7E	89.8472596585804	1
Tramadol	Fluoxetine	0.692	-1.789	Major	14 (6/8)	Increased risk of serotonin syndrome	#99BDDA	89.8472596585804	1
Tramadol	Paroxetine	0.783	2.609	Major	9 (7/2)	Risk of serotoninergic syndrome	#DF8383	57.7589526376588	1
Tramadol	Nefazodone	1	Inf	Major	1 (1/0)	Increased risk of serotonin syndrome	#B32020	6.41766140418432	1
Tramadol	Escitalopram	0.77	1.491	Major	18 (12/6)	Increased risk of serotonin syndrome	#F1ABAB	115.517905275318	1
Fluconazole	Phenytoin	0.258	Inf	Moderate	1 (1/0)	Increases the effect of hydantoin	#B32020	6.41766140418432	1
Fluconazole	Amitriptyline	0.537	-1.342	Moderate	4 (2/2)	The imidazole increases the effect and toxicity of the tricyclic	#A9C9E1	25.6706456167373	1
Fluconazole	Alprazolam	0.659	1.863	Major	7 (5/2)	Increases the effect of the benzodiazepine	#EB9E9E	44.9236298292902	1
Fluconazole	Celecoxib	0.368	Inf	Moderate	3 (3/0)	Increases the effect of celecoxib	#B32020	19.2529842125529	1
Fluconazole	Carbamazepine	1	Inf	Moderate	1 (1/0)	Increases the effect of carbamazepine	#B32020	6.41766140418432	1
Fluconazole	Simvastatin	0.285	2.981	Major	5 (4/1)	Increased risk of myopathy/rhabdomyolysis	#D97575	32.0883070209216	1
Fluconazole	Warfarin	1	-2.683	Major	3 (1/2)	Increases the anticoagulant effect	#7AA6CD	19.2529842125529	1
Fluconazole	Midazolam	0.878	-1.677	Major	18 (8/10)	Increases the effect of the benzodiazepine	#9DC0DC	115.517905275318	1
Fluconazole	Fentanyl	0.763	-1.83	Major	26 (11/15)	The imidazole increases levels/toxicity of fentanyl	#99BDDA	166.859196508792	1
Fluconazole	Diazepam	0.692	4.472	Moderate	7 (6/1)	Increases the effect of the benzodiazepine	#C13F3F	44.9236298292902	1
Fluconazole	Tacrolimus	0.521	1.491	Major	3 (2/1)	Increases the effect of the immunosuppressant	#F1ABAB	19.2529842125529	1
Fluconazole	Tolterodine	0.741	-1.342	Moderate	4 (2/2)	Increases the effect and toxicity of tolterodine	#A9C9E1	25.6706456167373	1
Fluconazole	Clonazepam	0.481	1.118	None	5 (3/2)	Increases the effect of the benzodiazepine	#F7B9B9	32.0883070209216	1
Fluconazole	Atorvastatin	0.767	1.739	Major	50 (35/15)	Increased risk of myopathy/rhabdomyolysis	#EDA3A3	320.883070209216	1
Erythromycin	Atorvastatin	1	1.491	Major	3 (2/1)	The macrolide possibly increases the statin toxicity	#F1ABAB	19.2529842125529	1
Caffeine	Ciprofloxacin	0.677	Inf	Moderate	2 (2/0)	The quinolone increases the effect and toxicity of caffeine	#B32020	12.8353228083686	1
Succinylcholine	Piperacillin	0.58	-1.517	Moderate	49 (23/26)	The agent increases the effect of the muscle relaxant	#A3C5DF	314.465408805031	0.0332976138200826
Succinylcholine	Tobramycin	0.758	-2.348	Major	11 (4/7)	The agent increases the effect of the muscle relaxant	#86AFD2	70.5942754460275	1
Succinylcholine	Gentamicin	0.85	1.739	Major	10 (7/3)	The agent increases the effect of muscle relaxant	#EDA3A3	64.1766140418432	1
Succinylcholine	Clindamycin	0.721	1.029	Moderate	50 (29/21)	The agent increases the effect of muscle relaxant	#F9BCBC	320.883070209216	2.42304916103003e-05
Succinylcholine	Metoclopramide	0.932	1.094	Moderate	116 (69/47)	The agent increases the effect of succinylcholine	#F7B9B9	744.448722885381	2.40294482292789e-38
