drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Folic acid	Phenytoin	0.37	1.418	Moderate	9 (6/3)	Folic acid decreases the levels of hydantoin	#F7B7B7	6.74162353276054	1
Folic acid	Phenobarbital	0.299	2.837	Moderate	5 (4/1)	Folic acid decreases the effect of anticonvulsant	#EFA6A6	3.74534640708919	1
Tramadol	Fluoxetine	0.257	3.972	Major	495 (420/75)	Increased risk of serotonin syndrome	#E99999	370.78929430183	0.00110969322114484
Tramadol	Carbamazepine	0.299	1.52	Moderate	88 (60/28)	Reduces the efficacy of tramadol	#F7B7B7	65.9180967647698	0.709462129253015
Fluconazole	Phenytoin	0.312	1.277	Moderate	14 (9/5)	Increases the effect of hydantoin	#F7B9B9	10.4869699398497	1
Fluconazole	Amitriptyline	0.302	4.255	Moderate	245 (210/35)	The imidazole increases the effect and toxicity of the tricyclic	#E89696	183.52197394737	1
Fluconazole	Imipramine	0.268	7.376	Moderate	57 (52/5)	The imidazole increases the effect and toxicity of the tricyclic	#D77070	42.6969490408168	1
Fluconazole	Haloperidol	0.241	1.33	Major	23 (15/8)	The imidazole increases the effect and toxicity of haloperidol	#F7B9B9	17.2285934726103	1
Fluconazole	Nortriptyline	0.297	5.437	Moderate	26 (23/3)	The imidazole increases the effect and toxicity of the tricyclic	#E18888	19.4758013168638	1
Fluconazole	Carbamazepine	0.27	1.034	Moderate	59 (35/24)	Increases the effect of carbamazepine	#F9BCBC	44.1950876036525	1
Fluconazole	Simvastatin	0.328	2.638	Major	892 (703/189)	Increased risk of myopathy/rhabdomyolysis	#F0A9A9	668.169799024712	1
Fluconazole	Warfarin	0.243	-1.128	Major	18 (10/8)	Increases the anticoagulant effect	#B4D1E6	13.4832470655211	1
Fluconazole	Diazepam	0.288	2.16	Moderate	89 (67/22)	Increases the effect of the benzodiazepine	#F3AFAF	66.6671660461876	1
Fluconazole	Clonazepam	0.269	3.408	None	627 (519/108)	Increases the effect of the benzodiazepine	#EC9F9F	469.666439448985	1
Erythromycin	Valproic acid	0.123	-1.41	Moderate	2 (1/1)	Erythromycin increases the effect of valproic acid	#AFCEE4	1.49813856283568	1
Erythromycin	Fluoxetine	0.158	Inf	Moderate	1 (1/0)	Possible serotoninergic syndrome with this combination	#B32020	0.749069281417838	1
Erythromycin	Simvastatin	0.255	2.837	Major	10 (8/2)	The macrolide possibly increases the statin toxicity	#EFA6A6	7.49069281417838	1
Erythromycin	Diazepam	0.095	Inf	Moderate	1 (1/0)	The macrolide increases the effect of the benzodiazepine	#B32020	0.749069281417838	1
Erythromycin	Aminophylline	0.114	Inf	Moderate	1 (1/0)	The macrolide increases the effect and toxicity of theophylline	#B32020	0.749069281417838	1
Azithromycin	Warfarin	0.173	1.182	Moderate	16 (10/6)	Increases the anticoagulant effect	#F8BABA	11.9851085026854	1
Phenytoin	Doxycycline	0.246	Inf	Moderate	1 (1/0)	The anticonvulsant decreases the effect of doxycycline	#B32020	0.749069281417838	1
Phenytoin	Conjugated estrogens	0.475	Inf	Moderate	1 (1/0)	The enzyme inducer decreases the effect of the hormones	#B32020	0.749069281417838	1
Phenytoin	Valproic acid	0.503	-1.88	Moderate	42 (18/24)	Valproate increases the effect of hydantoin	#ABCBE2	31.4609098195492	1.59809611981111e-23
Phenytoin	Omeprazole	0.354	-1.249	Moderate	149 (79/70)	Omeprazole increases the effect of hydantoin	#B2D0E5	111.611322931258	0.00544584439077293
Phenytoin	Levonorgestrel	0.488	Inf	Major	1 (1/0)	Phenytoin decreases the contraceptive effect	#B32020	0.749069281417838	1
Phenytoin	Trimethoprim	0.207	-1.057	Moderate	7 (4/3)	Trimethoprim increases the effect of hydantoin	#B4D1E6	5.24348496992487	1
Phenytoin	Fluoxetine	0.529	-1.371	Moderate	71 (36/35)	Fluoxetine increases the effect of phenytoin	#B1CFE5	53.1839189806665	1
Phenytoin	Ciprofloxacin	0.168	-2.051	Moderate	27 (11/16)	Ciprofloxacin decreases the hydantoin effect	#A8C8E1	20.2248705982816	1
