drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Tramadol	Fluoxetine	0.244	3.509	Major	80 (68/12)	Increased risk of serotonin syndrome	#D97575	686.636340228307	1
Tramadol	Carbamazepine	0.361	3.097	Moderate	12 (10/2)	Reduces the efficacy of tramadol	#DE8080	102.995451034246	1
Fluconazole	Phenytoin	0.475	Inf	Moderate	1 (1/0)	Increases the effect of hydantoin	#B32020	8.58295425285383	1
Fluconazole	Amitriptyline	0.334	20.438	Moderate	34 (33/1)	The imidazole increases the effect and toxicity of the tricyclic	#B32020	291.82044459703	1
Fluconazole	Imipramine	0.247	Inf	Moderate	7 (7/0)	The imidazole increases the effect and toxicity of the tricyclic	#B32020	60.0806797699768	1
Fluconazole	Haloperidol	0.463	1.858	Major	4 (3/1)	The imidazole increases the effect and toxicity of haloperidol	#EEA4A4	34.3318170114153	1
Fluconazole	Nortriptyline	0.181	Inf	Moderate	3 (3/0)	The imidazole increases the effect and toxicity of the tricyclic	#B32020	25.7488627585615	1
Fluconazole	Carbamazepine	0.306	-1.615	Moderate	6 (3/3)	Increases the effect of carbamazepine	#A3C5DF	51.497725517123	1
Fluconazole	Simvastatin	0.273	1.894	Major	69 (52/17)	Increased risk of myopathy/rhabdomyolysis	#EDA3A3	592.223843446914	1
Fluconazole	Diazepam	0.257	4.335	Moderate	8 (7/1)	Increases the effect of the benzodiazepine	#CD5C5C	68.6636340228307	1
Fluconazole	Clonazepam	0.251	5.849	None	94 (85/9)	Increases the effect of the benzodiazepine	#BA3131	806.79769976826	1
Erythromycin	Fluoxetine	0.158	Inf	Moderate	1 (1/0)	Possible serotoninergic syndrome with this combination	#B32020	8.58295425285383	1
Azithromycin	Warfarin	0.524	Inf	Moderate	1 (1/0)	Increases the anticoagulant effect	#B32020	8.58295425285383	1
Phenytoin	Valproic acid	0.441	-2.018	Moderate	9 (4/5)	Valproate increases the effect of hydantoin	#99BDDA	77.2465882756845	6.0311953790308e-05
Phenytoin	Omeprazole	0.4	-2.691	Moderate	16 (6/10)	Omeprazole increases the effect of hydantoin	#86AFD2	137.327268045661	1
Phenytoin	Trimethoprim	0.4	Inf	Moderate	1 (1/0)	Trimethoprim increases the effect of hydantoin	#B32020	8.58295425285383	1
Phenytoin	Fluoxetine	0.565	-1.615	Moderate	14 (7/7)	Fluoxetine increases the effect of phenytoin	#A3C5DF	120.161359539954	1
Phenytoin	Medroxyprogesterone acetate	0.434	Inf	Moderate	1 (1/0)	The enzyme inducer decreases the effect of the hormones	#B32020	8.58295425285383	1
Phenytoin	Warfarin	0.508	Inf	Moderate	1 (1/0)	Increased hydantoin levels and risk of bleeding	#B32020	8.58295425285383	1
