drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Folic acid	Phenytoin	0.362	Inf	Moderate	2 (2/0)	Folic acid decreases the levels of hydantoin	#B32020	53.6480686695279	1
Tramadol	Fluoxetine	0.298	2.819	Major	17 (14/3)	Increased risk of serotonin syndrome	#D97575	456.008583690987	1
Fluconazole	Phenytoin	0.631	Inf	Moderate	1 (1/0)	Increases the effect of hydantoin	#B32020	26.8240343347639	1
Fluconazole	Amitriptyline	0.307	1.51	Moderate	7 (5/2)	The imidazole increases the effect and toxicity of the tricyclic	#F0A9A9	187.768240343348	1
Fluconazole	Imipramine	0.182	Inf	Moderate	3 (3/0)	The imidazole increases the effect and toxicity of the tricyclic	#B32020	80.4721030042918	1
Fluconazole	Simvastatin	0.313	2.349	Major	44 (35/9)	Increased risk of myopathy/rhabdomyolysis	#E18686	1180.25751072961	1
Fluconazole	Diazepam	0.047	Inf	Moderate	4 (4/0)	Increases the effect of the benzodiazepine	#B32020	107.296137339056	1
Fluconazole	Clonazepam	0.304	1.41	None	20 (14/6)	Increases the effect of the benzodiazepine	#F2ACAC	536.480686695279	1
Erythromycin	Simvastatin	0.221	Inf	Major	1 (1/0)	The macrolide possibly increases the statin toxicity	#B32020	26.8240343347639	1
Azithromycin	Warfarin	0.133	1.208	Moderate	6 (4/2)	Increases the anticoagulant effect	#F5B4B4	160.944206008584	1
Phenytoin	Valproic acid	0.695	Inf	Moderate	1 (1/0)	Valproate increases the effect of hydantoin	#B32020	26.8240343347639	1
Phenytoin	Omeprazole	0.32	2.417	Moderate	10 (8/2)	Omeprazole increases the effect of hydantoin	#E08585	268.24034334764	1
Phenytoin	Fluoxetine	0.581	1.208	Moderate	3 (2/1)	Fluoxetine increases the effect of phenytoin	#F5B4B4	80.4721030042918	1
Phenytoin	Ciprofloxacin	0.165	-1.655	Moderate	4 (2/2)	Ciprofloxacin decreases the hydantoin effect	#9CBFDB	107.296137339056	1
Phenytoin	Prednisone	0.36	Inf	Moderate	1 (1/0)	The enzyme inducer decreases the effect of the corticosteroid	#B32020	26.8240343347639	1
Phenytoin	Furosemide	0.491	-1.655	Minor	4 (2/2)	The hydantoin decreases the effect of furosemide	#9CBFDB	107.296137339056	1
Phenytoin	Dexamethasone	0.066	Inf	Moderate	1 (1/0)	The enzyme inducer decreases the effect of the corticosteroid	#B32020	26.8240343347639	1
Doxycycline	Iron	0.234	Inf	Moderate	1 (1/0)	Formation of non-absorbable complexes	#B32020	26.8240343347639	1
Lidocaine	Atenolol	0.278	Inf	Moderate	1 (1/0)	The beta-blocker increases the effect and toxicity of lidocaine	#B32020	26.8240343347639	1
Valproic acid	Acetylsalicylic acid	0.303	-2.483	Moderate	5 (2/3)	The salicylate increases the effect of valproic acid	#7CA7CD	134.12017167382	1
Acetaminophen	Warfarin	0.413	1.318	Minor	35 (24/11)	Acetaminophen increases the anticoagulant effect	#F3AFAF	938.841201716738	1
Amitriptyline	Fluoxetine	0.612	1.661	Major	30 (22/8)	Fluoxetine increases the effect and toxicity of tricyclics	#EDA3A3	804.721030042918	1
Amitriptyline	Salbutamol	0.387	1.208	Moderate	9 (6/3)	The tricyclic increases the sympathomimetic effect	#F5B4B4	241.416309012876	1
Amitriptyline	Fenoterol	0.127	-1.655	None	4 (2/2)	The tricyclic increases the sympathomimetic effect	#9CBFDB	107.296137339056	1
Atenolol	Diltiazem	0.59	1.208	Major	12 (8/4)	Increased risk of bradycardia	#F5B4B4	321.888412017167	1
Atenolol	Salbutamol	0.521	1.41	Moderate	20 (14/6)	Antagonism	#F2ACAC	536.480686695279	1
Atenolol	Glyburide	0.61	1.769	Moderate	55 (41/14)	The beta-blocker decreases the symptoms of hypoglycemia	#EB9E9E	1475.32188841202	0.436548360338586
Atenolol	Ibuprofen	0.456	1.54	Moderate	110 (79/31)	Risk of inhibition of renal prostaglandins	#F0A7A7	2950.64377682403	1
Atenolol	Gliclazide	0.531	1.208	None	21 (14/7)	The beta-blocker decreases the symptoms of hypoglycemia	#F5B4B4	563.304721030043	1
Atenolol	Fenoterol	0.375	5.437	None	10 (9/1)	Antagonism	#B32020	268.24034334764	1
Omeprazole	Diazepam	0.312	1.16	Moderate	73 (48/25)	Omeprazole increases the effect of benzodiazepine	#F6B6B6	1958.15450643777	1
Omeprazole	Clonazepam	0.321	2.026	Moderate	370 (285/85)	Omeprazole increases the effect of benzodiazepine	#E79494	9924.89270386266	0.00361382595168141
Diltiazem	Amlodipine	0.127	Inf	Moderate	1 (1/0)	Increases the effect and toxicity of amlodipine	#B32020	26.8240343347639	1
Diltiazem	Carbamazepine	0.473	-1.655	Major	2 (1/1)	Increases the effect of carbamazepine	#9CBFDB	53.6480686695279	1
Diltiazem	Propranolol	0.686	-1.655	Major	2 (1/1)	Increased risk of bradycardia	#9CBFDB	53.6480686695279	1
Diltiazem	Simvastatin	0.581	1.133	Major	69 (45/24)	Increases the effect and toxicity of simvastatin	#F7B7B7	1850.85836909871	0.000121255678028959
Diltiazem	Amiodarone	0.562	-1.241	Major	7 (4/3)	Increased risk of cardiotoxicity and arrhythmias	#ABCBE2	187.768240343348	1
Digoxin	Spironolactone	0.664	-1.481	Minor	36 (19/17)	Increased digoxin levels and decreased effect in presence of spironolactone	#A2C4DE	965.665236051502	3.54528290272595e-16
Digoxin	Levothyroxine	0.466	1.359	Moderate	13 (9/4)	The thyroid hormones decreases the effect of digoxin	#F2AEAE	348.712446351931	1
Digoxin	Verapamil	0.231	Inf	Moderate	1 (1/0)	Verapamil increases the effect of digoxin	#B32020	26.8240343347639	1
Digoxin	Furosemide	0.591	-1.846	Moderate	55 (26/29)	Possible electrolyte variations and arrhythmias	#94B9D8	1475.32188841202	9.22091383830558e-26
Digoxin	Diazepam	0.282	1.208	Moderate	3 (2/1)	The benzodiazepine increases the effect of digoxin	#F5B4B4	80.4721030042918	1
Digoxin	Hydrochlorothiazide	0.501	-1.435	Moderate	28 (15/13)	Possible electrolyte variations and arrhythmias	#A5C6DF	751.072961373391	1
Digoxin	Amiodarone	0.556	-1.655	Major	8 (4/4)	Amiodarone increases the effect of digoxin	#9CBFDB	214.592274678112	1
Digoxin	Carvedilol	0.582	-1.241	Moderate	28 (16/12)	Carvedilol increases levels/effect of digoxin	#ABCBE2	751.072961373391	1.64318918068686e-13
Spironolactone	Enalapril	0.582	-1.414	Major	89 (48/41)	Increased risk of hyperkaliemia	#A5C6DF	2387.33905579399	0.00855812787314509
Spironolactone	Losartan	0.593	1.522	Major	88 (63/25)	Increased risk of hyperkaliemia	#F0A7A7	2360.51502145923	1.69923971713111e-06
Spironolactone	Captopril	0.37	Inf	Major	7 (7/0)	Increased risk of hyperkaliemia	#B32020	187.768240343348	1
Allopurinol	Warfarin	0.534	-2.207	Moderate	7 (3/4)	Allopurinol increases the anticoagulant effect	#86AFD2	187.768240343348	1
Levothyroxine	Warfarin	0.529	-1.168	Moderate	29 (17/12)	Thyroid hormones increase the anticoagulant effect	#AECDE3	777.896995708154	1
Levothyroxine	Iron	0.564	2.081	Moderate	40 (31/9)	Iron decreases absorption of levothyroxine	#E69191	1072.96137339056	0.192482635236268
Imipramine	Fluoxetine	0.758	1.812	Major	4 (3/1)	Fluoxetine increases the effect and toxicity of tricyclics	#EB9C9C	107.296137339056	1
Imipramine	Fenoterol	0.179	Inf	None	2 (2/0)	The tricyclic increases the sympathomimetic effect	#B32020	53.6480686695279	1
Fluoxetine	Nortriptyline	0.839	Inf	Major	1 (1/0)	Fluoxetine increases the effect and toxicity of tricyclics	#B32020	26.8240343347639	1
Fluoxetine	Carbamazepine	0.429	-2.483	Moderate	5 (2/3)	Increases the effect of carbamazepine	#7CA7CD	134.12017167382	1
Fluoxetine	Propranolol	0.351	1.41	Moderate	10 (7/3)	The SSRI increases the effect of the beta-blocker	#F2ACAC	268.24034334764	1
Fluoxetine	Warfarin	0.349	-1.287	Moderate	16 (9/7)	The SSRI increases the effect of anticoagulant	#A9C9E1	429.184549356223	1
