drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Digoxin	Furosemide	0.315	1.275	Moderate	11485 (7874/3611)	The risk or severity of adverse effects can be increased when Furosemide is combined with Digoxin.	#F8BABA	2866.9996729848	0
Acetaminophen	Acenocoumarol	0.268	-1.038	None	27323 (17005/10318)	Acetaminophen may increase the anticoagulant activities of Acenocoumarol.	#B4D1E6	6820.63840356671	1
Omeprazole	Alprazolam	0.335	2.043	Moderate	15182 (11804/3378)	The metabolism of Alprazolam can be decreased when combined with Omeprazole.	#F6B6B6	3789.88150067525	1
Omeprazole	Diazepam	0.214	1.642	Moderate	10596 (7814/2782)	The metabolism of Diazepam can be decreased when combined with Omeprazole.	#F7B9B9	2645.07867087043	1
Acetylsalicylic acid	Ibuprofen	0.14	1.01	Major	15498 (9816/5682)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Ibuprofen.	#F9BCBC	3868.76455654492	1
Rivastigmine	Quetiapine	0.333	1.069	Moderate	2268 (1466/802)		#F9BCBC	566.160666811452	0
Digoxin	Spironolactone	0.335	1.268	Minor	2684 (1837/847)	The serum concentration of Digoxin can be increased when it is combined with Spironolactone.	#F8BABA	670.006715044946	0
Amiodarone	Acenocoumarol	0.336	-1.253	None	3434 (1982/1452)	The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Amiodarone.	#B2D0E5	857.229157773601	0
Donepezil	Quetiapine	0.357	1.314	Moderate	2040 (1412/628)		#F8BABA	509.245044221941	0
Risperidone	Donepezil	0.293	1.483	Moderate	1779 (1276/503)		#F7B9B9	444.091634152369	9.50569400710672e-300
Prednisone	Acetylsalicylic acid	0.169	-1.476	Moderate	8412 (4516/3896)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Prednisone.	#B1CFE5	2099.88691764459	1
Acetylsalicylic acid	Gliclazide	0.386	-1.361	None	5240 (2918/2322)	Acetylsalicylic acid may increase the hypoglycemic activities of Gliclazide.	#B2D0E5	1308.0607998642	1
Furosemide	Ibuprofen	0.178	1.264	Moderate	8727 (5967/2760)	The therapeutic efficacy of Furosemide can be decreased when used in combination with Ibuprofen.	#F8BABA	2178.52034359063	1
Trazodone	Donepezil	0.317	1.475	Moderate	1547 (1108/439)		#F7B9B9	386.177491868305	1.75754836862078e-217
Allopurinol	Acenocoumarol	0.303	-2.904	None	5101 (1891/3210)	Allopurinol may increase the anticoagulant activities of Acenocoumarol.	#A8C8E1	1273.36224047849	3.50349576171754e-51
Trazodone	Rivastigmine	0.298	1.25	Moderate	1422 (969/453)		#F8BABA	354.973751413529	7.28525919457886e-234
Omeprazole	Clonazepam	0.26	1.439	Moderate	3736 (2657/1079)		#F8BABA	932.617394712339	1
Levothyroxine	Acenocoumarol	0.303	1.93	None	2895 (2222/673)	Levothyroxine may increase the anticoagulant activities of Acenocoumarol.	#F7B7B7	722.678628932607	1
Acetylsalicylic acid	Glyburide	0.341	-1.342	Moderate	2919 (1636/1283)	Acetylsalicylic acid may increase the hypoglycemic activities of Glyburide.	#B2D0E5	728.669747099924	1
Galantamine	Risperidone	0.286	1.165	Moderate	883 (588/295)		#F9BCBC	220.423222572536	1.47299418406891e-172
Alendronic acid	Ibuprofen	0.182	5.324	Moderate	2800 (2523/277)	The risk or severity of adverse effects can be increased when Ibuprofen is combined with Alendronic acid.	#EC9F9F	698.963786186978	1
Spironolactone	Enalapril	0.312	-1.127	Major	3732 (2250/1482)	The risk or severity of adverse effects can be increased when Spironolactone is combined with Enalapril.	#B4D1E6	931.618875017786	1
Galantamine	Quetiapine	0.372	-1.048	Moderate	961 (596/365)	Galantamine may increase the QTc-prolonging activities of Quetiapine.	#B4D1E6	239.894356616316	6.03029329421041e-181
Citalopram	Acenocoumarol	0.327	1.333	None	2932 (2038/894)	The metabolism of Acenocoumarol can be decreased when combined with Citalopram.	#F8BABA	731.914936107221	1
Digoxin	Carvedilol	0.297	-1.047	Moderate	1322 (820/502)	Digoxin may increase the bradycardic activities of Carvedilol.	#B4D1E6	330.010759049709	1.75731913393327e-49
Torasemide	Ibuprofen	0.177	1.44	Moderate	3166 (2252/914)	The therapeutic efficacy of Torasemide can be decreased when used in combination with Ibuprofen.	#F8BABA	790.328338238561	1
Acetylsalicylic acid	Insulin detemir	0.351	-1.058	Moderate	1761 (1088/673)	Acetylsalicylic acid may increase the hypoglycemic activities of Insulin Detemir.	#B4D1E6	439.598295526881	1
Prednisone	Acenocoumarol	0.174	-1.474	None	3478 (1868/1610)		#B1CFE5	868.212874413682	1
Trazodone	Galantamine	0.319	1.063	Moderate	730 (471/259)		#F9BCBC	182.229844255891	4.63346562821793e-110
Digoxin	Levothyroxine	0.318	2.586	Moderate	1383 (1128/255)		#F5B2B2	345.238184391639	1
Levofloxacin	Acenocoumarol	0.112	-1.645	None	3256 (1660/1596)	Levofloxacin may increase the anticoagulant activities of Acenocoumarol.	#B1CFE5	812.795031366	1
Donepezil	Sertraline	0.448	1.878	Minor	952 (726/226)	The metabolism of Donepezil can be decreased when combined with Sertraline.	#F7B7B7	237.647687303572	5.53789020980028e-21
Tramadol	Citalopram	0.252	2.46	Major	2453 (1982/471)	Citalopram may increase the neuroexcitatory activities of Tramadol.	#F5B2B2	612.34220268452	1
Acetylsalicylic acid	Insulin aspart	0.295	-1.092	Moderate	1594 (973/621)	Acetylsalicylic acid may increase the hypoglycemic activities of Insulin Aspart.	#B4D1E6	397.910098279301	1
Diltiazem	Simvastatin	0.45	-1.165	Major	2217 (1319/898)	The serum concentration of Simvastatin can be increased when it is combined with Diltiazem.	#B4D1E6	553.429540705903	1
Acetaminophen	Warfarin	0.25	1.072	Minor	1777 (1150/627)	Acetaminophen may increase the anticoagulant activities of Warfarin.	#F9BCBC	443.592374305093	1
Ciprofloxacin	Acenocoumarol	0.117	-1.585	None	3439 (1785/1654)		#B1CFE5	858.477307391792	1
Bisoprolol	Gliclazide	0.342	-1.177	None	1705 (1010/695)	Bisoprolol may increase the hypoglycemic activities of Gliclazide.	#B4D1E6	425.619019803142	1
Bisoprolol	Salbutamol	0.182	-1.369	Moderate	2713 (1507/1206)	Bisoprolol may decrease the bronchodilatory activities of Salbutamol.	#B2D0E5	677.245982830454	1
Haloperidol	Biperiden	0.391	1.835	Moderate	207 (157/50)		#F7B7B7	51.6733941931087	2.80676874781965e-73
Acetylsalicylic acid	Ginkgo biloba	0.279	1.066	Moderate	1528 (987/541)	Ginkgo biloba may increase the anticoagulant activities of Acetylsalicylic acid.	#F9BCBC	381.434523319179	1
Omeprazole	Methotrexate	0.33	1.568	Major	976 (711/265)	The serum concentration of Methotrexate can be increased when it is combined with Omeprazole.	#F7B9B9	243.638805470889	1
Bisoprolol	Ibuprofen	0.13	1.177	Moderate	3255 (2175/1080)	Ibuprofen may decrease the antihypertensive activities of Bisoprolol.	#F9BCBC	812.545401442362	1
Trazodone	Acenocoumarol	0.273	-1.022	None	1891 (1184/707)		#B4D1E6	472.050185599848	1
Paroxetine	Acenocoumarol	0.319	1.432	None	1463 (1039/424)	Paroxetine may increase the anticoagulant activities of Acenocoumarol.	#F8BABA	365.208578282696	1
Mirtazapine	Rivastigmine	0.313	1.645	Moderate	572 (422/150)		#F7B9B9	142.788316321054	2.18650368574852e-32
Digoxin	Alprazolam	0.264	1.989	Moderate	1246 (963/283)		#F6B6B6	311.038884853205	1
Ibuprofen	Acenocoumarol	0.14	-1.067	None	3493 (2151/1342)	Ibuprofen may increase the anticoagulant activities of Acenocoumarol.	#B4D1E6	871.957323268255	1
Digoxin	Hydrochlorothiazide	0.294	1.532	Moderate	2078 (1504/574)	The risk or severity of adverse effects can be increased when Hydrochlorothiazide is combined with Digoxin.	#F7B9B9	518.730981320193	1
Bisoprolol	Formoterol	0.264	-1.615	Moderate	1777 (914/863)	Bisoprolol may decrease the bronchodilatory activities of Formoterol.	#B1CFE5	443.592374305093	1
Mirtazapine	Donepezil	0.414	1.923	Moderate	592 (454/138)		#F7B7B7	147.780914793818	1.43101851898712e-19
Acetylsalicylic acid	Methylprednisolone	0.172	-1.109	Moderate	1742 (1057/685)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Methylprednisolone.	#B4D1E6	434.855326977755	1
Spironolactone	Losartan	0.326	1.342	Major	1338 (932/406)	The risk or severity of adverse effects can be increased when Spironolactone is combined with Losartan.	#F8BABA	334.00483782792	1
Diclofenac	Alendronic acid	0.171	4.233	Moderate	1129 (992/137)	The risk or severity of adverse effects can be increased when Diclofenac is combined with Alendronic acid.	#F0A7A7	281.832183787535	1
Diltiazem	Atorvastatin	0.454	-1.486	Moderate	1239 (663/576)	The serum concentration of Diltiazem can be increased when it is combined with Atorvastatin.	#B1CFE5	309.291475387738	1
Simvastatin	Amiodarone	0.363	-1.424	Major	1814 (990/824)	The serum concentration of Simvastatin can be increased when it is combined with Amiodarone.	#B2D0E5	452.828681479706	1
Paroxetine	Risperidone	0.271	2.031	Moderate	850 (660/190)	The metabolism of Risperidone can be decreased when combined with Paroxetine.	#F6B6B6	212.185435092475	1
Bisoprolol	Repaglinide	0.353	-1.355	Moderate	1181 (659/522)		#B2D0E5	294.812939816722	1
Ranitidine	Acenocoumarol	0.285	-1.273	None	1484 (851/633)		#B2D0E5	370.450806679098	1
Bisoprolol	Salmeterol	0.314	-1.888	Moderate	1912 (909/1003)	Bisoprolol may decrease the bronchodilatory activities of Salmeterol.	#AFCEE4	477.292413996251	1
Hydrocortisone	Acetylsalicylic acid	0.177	1.04	Moderate	1231 (788/443)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Hydrocortisone.	#F9BCBC	307.294435998632	1
Digoxin	Amiodarone	0.341	-1.13	Major	787 (474/313)	The serum concentration of Digoxin can be increased when it is combined with Amiodarone.	#B4D1E6	196.458749903268	1
Digoxin	Verapamil	0.366	1.351	Moderate	414 (289/125)	The metabolism of Digoxin can be decreased when combined with Verapamil.	#F8BABA	103.346788386217	5.21039987294415e-23
Atenolol	Ibuprofen	0.173	1.549	Moderate	1219 (885/334)	Ibuprofen may decrease the antihypertensive activities of Atenolol.	#F7B9B9	304.298876914974	1
Omeprazole	Midazolam	0.29	1.123	Moderate	736 (484/252)		#F9BCBC	183.72762379772	1
Tramadol	Paroxetine	0.237	2.821	Major	1142 (946/196)	Paroxetine may increase the neuroexcitatory activities of Tramadol.	#F4B1B1	285.077372794832	1
Valproic acid	Acetylsalicylic acid	0.38	-1.153	Moderate	668 (399/269)	The serum concentration of Valproic Acid can be increased when it is combined with Acetylsalicylic acid.	#B4D1E6	166.752788990322	1
Mirtazapine	Galantamine	0.422	2.476	Moderate	288 (233/55)		#F5B2B2	71.8934180078034	1.65539085295406e-12
Azithromycin	Acenocoumarol	0.111	-1.409	None	1765 (968/797)	The metabolism of Acenocoumarol can be decreased when combined with Azithromycin.	#B2D0E5	440.596815221434	1
Citalopram	Carvedilol	0.411	1.515	Moderate	729 (526/203)	The metabolism of Carvedilol can be decreased when combined with Citalopram.	#F7B9B9	181.980214332252	1
Mesalazine	Azathioprine	0.331	1.111	Moderate	29 (19/10)	The metabolism of Azathioprine can be decreased when combined with Mesalazine.	#F9BCBC	7.23926778550798	5.21753469261064e-24
Methimazole	Acenocoumarol	0.324	2.268	None	405 (322/83)	Methimazole may decrease the anticoagulant activities of Acenocoumarol.	#F5B4B4	101.100119073474	1
Salbutamol	Carvedilol	0.175	-1.486	Major	951 (509/442)	Carvedilol may decrease the vasoconstricting activities of Salbutamol.	#B1CFE5	237.398057379934	1
