drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Tramadol	Fluoxetine	0.244	4.692	Major	67 (59/8)	Increased risk of serotonin syndrome	#F1ABAB	642.624208708997	1
Tramadol	Carbamazepine	0.419	1.06	Moderate	16 (10/6)	Reduces the efficacy of tramadol	#F9BCBC	153.462497602148	1
Fluconazole	Phenytoin	0.219	Inf	Moderate	1 (1/0)	Increases the effect of hydantoin	#B32020	9.59140610013428	1
Fluconazole	Amitriptyline	0.28	2.474	Moderate	44 (35/9)	The imidazole increases the effect and toxicity of the tricyclic	#F6B6B6	422.021868405908	1
Fluconazole	Imipramine	0.23	1.272	Moderate	6 (4/2)	The imidazole increases the effect and toxicity of the tricyclic	#F9BCBC	57.5484366008057	1
Fluconazole	Haloperidol	0.202	Inf	Major	2 (2/0)	The imidazole increases the effect and toxicity of haloperidol	#B32020	19.1828122002686	1
Fluconazole	Nortriptyline	0.447	1.909	Moderate	4 (3/1)	The imidazole increases the effect and toxicity of the tricyclic	#F7B9B9	38.3656244005371	1
Fluconazole	Carbamazepine	0.387	-1.048	Moderate	5 (3/2)	Increases the effect of carbamazepine	#B4D1E6	47.9570305006714	1
Fluconazole	Simvastatin	0.373	2.352	Major	155 (122/33)	Increased risk of myopathy/rhabdomyolysis	#F6B6B6	1486.66794552081	1
Fluconazole	Warfarin	0.233	1.272	Major	6 (4/2)	Increases the anticoagulant effect	#F9BCBC	57.5484366008057	1
Fluconazole	Diazepam	0.278	1.091	Moderate	19 (12/7)	Increases the effect of the benzodiazepine	#F9BCBC	182.236715902551	1
Fluconazole	Clonazepam	0.284	3.817	None	77 (66/11)	Increases the effect of the benzodiazepine	#F3AFAF	738.53826971034	1
Erythromycin	Simvastatin	0.309	Inf	Major	1 (1/0)	The macrolide possibly increases the statin toxicity	#B32020	9.59140610013428	1
Azithromycin	Warfarin	0.194	-1.572	Moderate	2 (1/1)	Increases the anticoagulant effect	#B2D0E5	19.1828122002686	1
