drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Insulin lispro	Esmolol	0.52	-3.539	Moderate	29 (8/21)		#76A3CB	263.876251137398	0.00939335876701648
Insulin lispro	Doxycycline	0.722	-1.298	Moderate	53 (27/26)		#AECDE3	482.256596906278	1
Insulin lispro	Atenolol	0.88	1.011	Moderate	26 (15/11)		#F9BCBC	236.578707916288	1
Insulin lispro	Tetracycline	1	Inf	Moderate	1 (1/0)		#B32020	9.09918107370337	1
Insulin lispro	Acetylsalicylic acid	0.932	-1.256	Moderate	454 (235/219)		#AECDE3	4131.02820746133	5.75202537875808e-45
Insulin lispro	Carvedilol	0.909	-1.248	Moderate	181 (94/87)		#AECDE3	1646.95177434031	2.58589494455054e-34
Insulin lispro	Bismuth subsalicylate	1	Inf	Moderate	1 (1/0)	The salicylate increase the effect of insulin	#B32020	9.09918107370337	1
Insulin glargine	Esmolol	0.5	-8.09	Moderate	14 (2/12)		#1E61A5	127.388535031847	1
Insulin glargine	Doxycycline	0.718	-1.296	Moderate	51 (26/25)		#AECDE3	464.058234758872	1
Insulin glargine	Metoprolol	0.819	-1.563	Moderate	190 (88/102)		#A6C7E0	1728.84440400364	6.83601027121291e-05
Insulin glargine	Atenolol	0.63	1.854	Moderate	21 (15/6)		#EFA6A6	191.082802547771	1
Insulin glargine	Timolol	0.753	-4.045	Moderate	4 (1/3)		#6898C5	36.3967242948135	1
Insulin glargine	Sotalol	0.758	-1.348	Moderate	4 (2/2)		#ACCCE3	36.3967242948135	1
Insulin glargine	Propranolol	0.956	2.596	Moderate	9 (7/2)		#E69393	81.8926296633303	1
Insulin glargine	Labetalol	0.743	1.071	Moderate	22 (13/9)		#F8BABA	200.181983621474	1
Insulin glargine	Acetylsalicylic acid	0.896	-1.441	Moderate	302 (146/156)		#A9C9E1	2747.95268425842	6.44819732857006e-18
Insulin glargine	Carvedilol	0.851	-1.517	Moderate	136 (64/72)		#A8C8E1	1237.48862602366	8.9371599846918e-25
Insulin glargine	Nadolol	0.508	Inf	Moderate	2 (2/0)		#B32020	18.1983621474067	1
Cyclosporine	Rosuvastatin	1	Inf	Major	1 (1/0)	Increases the effect and toxicity of rosuvastatin	#B32020	9.09918107370337	1
Folic acid	Butalbital	1	Inf	None	1 (1/0)	Folic acid decreases the effect of anticonvulsant	#B32020	9.09918107370337	1
Pravastatin	Fenofibrate	0.934	2.04	Major	15 (11/4)	Increased risk of myopathy/rhabdomyolysis	#EDA1A1	136.487716105551	1
Pravastatin	Gemfibrozil	0.677	Inf	Major	3 (3/0)	Increased risk of myopathy/rhabdomyolysis	#B32020	27.2975432211101	1
Pravastatin	Colchicine	0.767	-1.798	Major	7 (3/4)	Increased risk of rhabdomyolysis with this combination	#A0C3DD	63.6942675159236	1
Valsartan	Triamterene	0.862	-1.011	Major	7 (4/3)	Increased risk of hyperkaliemia	#B4D1E6	63.6942675159236	1
Valsartan	Lithium cation	1	Inf	Moderate	1 (1/0)	The ARB increases serum levels of lithium	#B32020	9.09918107370337	1
Ramipril	Spironolactone	0.764	1.483	Major	3 (2/1)	Increased risk of hyperkaliemia	#F4B1B1	27.2975432211101	1
Amphetamine	Prochlorperazine	1	Inf	Moderate	1 (1/0)	Decreased anorexic effect, may increase pyschotic symptoms	#B32020	9.09918107370337	1
Lorazepam	Phenytoin	1	1.113	Moderate	5 (3/2)	Possible increased levels of the hydantoin, decrease of benzodiazepine	#F8BABA	45.4959053685168	1
Lorazepam	Fosphenytoin	1	2.225	Moderate	4 (3/1)	Possible increased levels of the hydantoin, decrease of benzodiazepine	#EB9C9C	36.3967242948135	0.395636914375593
Esmolol	Lidocaine	0.959	-1.513	Moderate	87 (41/46)	The beta-blocker increases the effect and toxicity of lidocaine	#A8C8E1	791.628753412193	7.03620074016522e-20
Esmolol	Indomethacin	1	Inf	Moderate	1 (1/0)	Risk of inhibition of renal prostaglandins	#B32020	9.09918107370337	1
Esmolol	Clonidine	0.5	Inf	Major	1 (1/0)	Increased hypertension when clonidine stopped	#B32020	9.09918107370337	1
Esmolol	Verapamil	0.5	Inf	Major	1 (1/0)	Increased effect of both drugs	#B32020	9.09918107370337	1
Esmolol	Epinephrine	0.868	-1.095	Moderate	29 (16/13)	Hypertension, then bradycardia	#B2D0E5	263.876251137398	0.0394805929196985
Esmolol	Salmeterol	0.5	-1.348	Moderate	4 (2/2)	Antagonism	#ACCCE3	36.3967242948135	1
Esmolol	Salbutamol	0.547	-1.18	Moderate	15 (8/7)	Antagonism	#B1CFE5	136.487716105551	1
Esmolol	Insulin detemir	0.255	Inf	Moderate	2 (2/0)	The beta-blocker decreases the symptoms of hypoglycemia	#B32020	18.1983621474067	1
Tramadol	Citalopram	0.688	2.225	Major	16 (12/4)	Increased risk of serotonin syndrome	#EB9C9C	145.586897179254	1
Tramadol	Fluoxetine	0.74	4.079	Major	13 (11/2)	Increased risk of serotonin syndrome	#D56D6D	118.289353958144	1
Tramadol	Paroxetine	0.156	Inf	Major	3 (3/0)	Risk of serotoninergic syndrome	#B32020	27.2975432211101	1
Tramadol	Escitalopram	0.637	1.632	Major	16 (11/5)	Increased risk of serotonin syndrome	#F2ACAC	145.586897179254	1
Tramadol	Rasagiline	1	Inf	Major	1 (1/0)	Increased risk of seizures and serotonin syndrome	#B32020	9.09918107370337	1
Fluconazole	Lovastatin	0.011	Inf	Major	1 (1/0)	Increased risk of myopathy/rhabdomyolysis	#B32020	9.09918107370337	1
Fluconazole	Amitriptyline	0.794	Inf	Moderate	4 (4/0)	The imidazole increases the effect and toxicity of the tricyclic	#B32020	36.3967242948135	1
Fluconazole	Alprazolam	0.269	Inf	Major	4 (4/0)	Increases the effect of the benzodiazepine	#B32020	36.3967242948135	1
Fluconazole	Simvastatin	0.505	-1.348	Major	2 (1/1)	Increased risk of myopathy/rhabdomyolysis	#ACCCE3	18.1983621474067	1
Fluconazole	Warfarin	1	1.483	Major	6 (4/2)	Increases the anticoagulant effect	#F4B1B1	54.5950864422202	1
Fluconazole	Midazolam	0.642	-1.18	Major	15 (8/7)	Increases the effect of the benzodiazepine	#B1CFE5	136.487716105551	1
Fluconazole	Fentanyl	0.569	1.079	Major	27 (16/11)	The imidazole increases levels/toxicity of fentanyl	#F8BABA	245.677888989991	1
Fluconazole	Diazepam	0.677	1.483	Moderate	3 (2/1)	Increases the effect of the benzodiazepine	#F4B1B1	27.2975432211101	1
Fluconazole	Tacrolimus	1	-1.011	Major	7 (4/3)	Increases the effect of the immunosuppressant	#B4D1E6	63.6942675159236	1
Fluconazole	Tolterodine	1	-2.697	Moderate	3 (1/2)	Increases the effect and toxicity of tolterodine	#89B1D3	27.2975432211101	1
Fluconazole	Clonazepam	0.597	Inf	None	2 (2/0)	Increases the effect of the benzodiazepine	#B32020	18.1983621474067	1
Fluconazole	Atorvastatin	0.725	1.686	Major	36 (25/11)	Increased risk of myopathy/rhabdomyolysis	#F1ABAB	327.570518653321	1
Erythromycin	Rifabutin	1	Inf	Moderate	1 (1/0)	The rifamycin decreases the effect of the macrolide	#B32020	9.09918107370337	1
Erythromycin	Simvastatin	0.022	Inf	Major	1 (1/0)	The macrolide possibly increases the statin toxicity	#B32020	9.09918107370337	1
Erythromycin	Midazolam	0.516	Inf	Moderate	2 (2/0)	The macrolide increases the efect of the benzodiazepine	#B32020	18.1983621474067	1
