drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Insulin lispro	Esmolol	0.5	Inf	Moderate	1 (1/0)		#B32020	47.6644423260248	1
Insulin lispro	Doxycycline	0.804	-3.021	Moderate	9 (4/5)		#5F92C1	428.979980934223	1
Insulin lispro	Atenolol	1	Inf	Moderate	3 (3/0)		#B32020	142.993326978074	1
Insulin lispro	Demeclocycline	1	Inf	Moderate	1 (1/0)		#B32020	47.6644423260248	1
Insulin lispro	Acetylsalicylic acid	0.938	-1.233	Moderate	74 (49/25)		#ABCBE2	3527.16873212583	0.0229512735230225
Insulin lispro	Carvedilol	1	-1.726	Moderate	24 (14/10)		#96BBD9	1143.94661582459	1
Insulin lispro	Bismuth subsalicylate	1	Inf	Moderate	1 (1/0)	The salicylate increase the effect of insulin	#B32020	47.6644423260248	1
Insulin glargine	Doxycycline	0.795	-1.813	Moderate	7 (4/3)		#93B8D7	333.651096282174	1
Insulin glargine	Metoprolol	0.822	-1.564	Moderate	28 (17/11)		#9DC0DC	1334.60438512869	1
Insulin glargine	Atenolol	0.011	Inf	Moderate	1 (1/0)		#B32020	47.6644423260248	1
Insulin glargine	Timolol	1	-2.417	Moderate	2 (1/1)		#79A5CC	95.3288846520496	1
Insulin glargine	Labetalol	1	Inf	Moderate	1 (1/0)		#B32020	47.6644423260248	1
Insulin glargine	Demeclocycline	1	Inf	Moderate	1 (1/0)		#B32020	47.6644423260248	1
Insulin glargine	Acetylsalicylic acid	0.916	-1.692	Moderate	51 (30/21)		#97BCD9	2430.88655862726	0.195464340735133
Insulin glargine	Minocycline	1	Inf	Moderate	1 (1/0)		#B32020	47.6644423260248	1
Insulin glargine	Carvedilol	1	-1.813	Moderate	14 (8/6)		#93B8D7	667.302192564347	1
Cyclosporine	Atorvastatin	1	Inf	Major	1 (1/0)	Possible myopathy and rhabdomyolysis	#B32020	47.6644423260248	1
Oxytocin	Phenylephrine	0.333	Inf	Moderate	1 (1/0)	Possible marked increase of arterial pressure	#B32020	47.6644423260248	1
Pravastatin	Colchicine	0.533	-2.417	Major	2 (1/1)	Increased risk of rhabdomyolysis with this combination	#79A5CC	95.3288846520496	1
Valsartan	Triamterene	1	Inf	Major	1 (1/0)	Increased risk of hyperkaliemia	#B32020	47.6644423260248	1
