drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Tramadol	Fluoxetine	0.222	-1.476	Major	4 (2/2)	Increased risk of serotonin syndrome	#A2C4DE	36.539691239609	1
Tramadol	Carbamazepine	0.355	Inf	Moderate	1 (1/0)	Reduces the efficacy of tramadol	#B32020	9.13492280990226	1
Fluconazole	Amitriptyline	0.387	-2.213	Moderate	5 (2/3)	The imidazole increases the effect and toxicity of the tricyclic	#83ADD1	45.6746140495113	1
Fluconazole	Carbamazepine	0.805	-1.476	Moderate	2 (1/1)	Increases the effect of carbamazepine	#A2C4DE	18.2698456198045	1
Fluconazole	Simvastatin	0.189	Inf	Major	4 (4/0)	Increased risk of myopathy/rhabdomyolysis	#B32020	36.539691239609	1
Fluconazole	Clonazepam	0.295	-3.689	None	7 (2/5)	Increases the effect of the benzodiazepine	#4880B7	63.9444596693158	1
Phenytoin	Valproic acid	0.47	-1.476	Moderate	4 (2/2)	Valproate increases the effect of hydantoin	#A2C4DE	36.539691239609	0.000517164074609553
Phenytoin	Omeprazole	0.292	-1.476	Moderate	2 (1/1)	Omeprazole increases the effect of hydantoin	#A2C4DE	18.2698456198045	1
Phenytoin	Norethisterone	0.373	Inf	None	1 (1/0)	This product may cause a slight decrease of contraceptive effect	#B32020	9.13492280990226	1
Phenytoin	Estradiol	0.373	Inf	Moderate	1 (1/0)	The enzyme inducer decreases the effect of the hormones	#B32020	9.13492280990226	1
Doxycycline	Carbamazepine	0.246	Inf	Moderate	1 (1/0)	The anticonvulsant decreases the effect of doxycycline	#B32020	9.13492280990226	1
Doxycycline	Ethinylestradiol	0.471	Inf	Moderate	7 (7/0)	This anti-infectious agent could decrease the effect  of the oral contraceptive	#B32020	63.9444596693158	1
Doxycycline	Benzylpenicillin	0.361	-1.967	Moderate	7 (3/4)	Possible antagonism of action	#8EB5D5	63.9444596693158	1
Doxycycline	Amoxicillin	0.426	-4.427	Moderate	4 (1/3)	Possible antagonism of action	#2A6AAA	36.539691239609	1
Valproic acid	Carbamazepine	0.365	-3.935	Moderate	11 (3/8)	Carbamazepine decreases the effect of valproic acid	#3D78B2	100.484150908925	6.34496184167821e-07
Valproic acid	Phenobarbital	0.31	-2.951	Moderate	3 (1/2)	Valproic acid increases the effect of barbiturate	#6596C4	27.4047684297068	0.162953730117194
