drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Cyclosporine	Voriconazole	1	Inf	Major	1 (1/0)	Voriconazole increases the effect and toxicity of cyclosporine	#B32020	5.2792735719565	0.0525787887054638
Cyclosporine	Sulfamethoxazole	1	Inf	Major	1 (1/0)	The sulfonamide decreases the effect of cyclosporine	#B32020	5.2792735719565	1
Cyclosporine	Clindamycin	0.125	Inf	Moderate	1 (1/0)	Clindamycin decreases the effect of cyclosporine	#B32020	5.2792735719565	1
Amphetamine	Fluoxetine	0.758	1.106	Major	4 (2/2)	Risk of serotoninergic syndrome	#F7B7B7	21.117094287826	1
Lorazepam	Phenytoin	1	Inf	Moderate	1 (1/0)	Possible increased levels of the hydantoin, decrease of benzodiazepine	#B32020	5.2792735719565	1
Lorazepam	Fosphenytoin	1	1.474	Moderate	7 (4/3)	Possible increased levels of the hydantoin, decrease of benzodiazepine	#F0A7A7	36.9549150036955	1.93173604599384e-11
Esmolol	Epinephrine	1	Inf	Moderate	1 (1/0)	Hypertension, then bradycardia	#B32020	5.2792735719565	1
Fluconazole	Haloperidol	1	Inf	Major	1 (1/0)	The imidazole increases the effect and toxicity of haloperidol	#B32020	5.2792735719565	0.647889677770695
Fluconazole	Cyclophosphamide	0.458	1.106	None	2 (1/1)	Reduces metabolism and clearance of cyclophosphamide	#F7B7B7	10.558547143913	0.0401769203206205
Fluconazole	Midazolam	1	Inf	Major	1 (1/0)	Increases the effect of the benzodiazepine	#B32020	5.2792735719565	1
Fluconazole	Fentanyl	1	Inf	Major	2 (2/0)	The imidazole increases levels/toxicity of fentanyl	#B32020	10.558547143913	1
Fluconazole	Diazepam	1	Inf	Moderate	1 (1/0)	Increases the effect of the benzodiazepine	#B32020	5.2792735719565	1
Fluconazole	Tacrolimus	1	1.106	Major	2 (1/1)	Increases the effect of the immunosuppressant	#F7B7B7	10.558547143913	0.313220322595396
Erythromycin	Valproic acid	1	Inf	Moderate	1 (1/0)	Erythromycin increases the effect of valproic acid	#B32020	5.2792735719565	1
Erythromycin	Midazolam	1	-1.809	Moderate	3 (1/2)	The macrolide increases the efect of the benzodiazepine	#91B7D7	15.8378207158695	1
Erythromycin	Diazepam	0.542	Inf	Moderate	2 (2/0)	The macrolide increases the effect of the benzodiazepine	#B32020	10.558547143913	1
Succinylcholine	Piperacillin	0.665	1.194	Moderate	52 (27/25)	The agent increases the effect of the muscle relaxant	#F5B4B4	274.522225741738	1.59347809732375e-62
Succinylcholine	Gentamicin	0.7	Inf	Major	2 (2/0)	The agent increases the effect of muscle relaxant	#B32020	10.558547143913	1
Succinylcholine	Clindamycin	0.75	2.212	Moderate	3 (2/1)	The agent increases the effect of muscle relaxant	#E08585	15.8378207158695	1
Mesalazine	Azathioprine	0.871	Inf	Moderate	1 (1/0)	The 5-ASA derivative increases the toxicity of thiopurine	#B32020	5.2792735719565	0.0525815647767047
Phenytoin	Midazolam	1	Inf	Moderate	1 (1/0)	Possible increased levels of the hydantoin, decrease of benzodiazepine	#B32020	5.2792735719565	1
Phenytoin	Methylprednisolone	0.343	1.106	Moderate	2 (1/1)	The enzyme inducer decreases the effect of the corticosteroid	#F7B7B7	10.558547143913	0.0610514005423183
Doxycycline	Clavulanic acid	0.435	Inf	None	1 (1/0)	Possible antagonism of action	#B32020	5.2792735719565	1
Doxycycline	Amoxicillin	0.391	1.106	Moderate	2 (1/1)	Possible antagonism of action	#F7B7B7	10.558547143913	1
Doxycycline	Phenobarbital	1	Inf	Moderate	1 (1/0)	The anticonvulsant decreases the effect of doxycycline	#B32020	5.2792735719565	1
Metoprolol	Lidocaine	0.688	-1.809	Moderate	3 (1/2)	The beta-blocker increases the effect and toxicity of lidocaine	#91B7D7	15.8378207158695	1
Metoprolol	Clonidine	1	Inf	Major	1 (1/0)	Increased hypertension when clonidine stopped	#B32020	5.2792735719565	1
Metoprolol	Epinephrine	1	Inf	Moderate	1 (1/0)	Hypertension, then bradycardia	#B32020	5.2792735719565	1
Metoprolol	Salbutamol	0.833	-1.809	Moderate	3 (1/2)	Antagonism	#91B7D7	15.8378207158695	1
Metoprolol	Ibuprofen	1	Inf	Moderate	1 (1/0)	Risk of inhibition of renal prostaglandins	#B32020	5.2792735719565	1
Metoprolol	Propafenone	0.932	Inf	Moderate	1 (1/0)	Propafenone increases the effect of beta-blocker	#B32020	5.2792735719565	0.105163129553299
Topiramate	Fosphenytoin	1	1.106	Moderate	2 (1/1)	Increased phenytoin/decreased topiramate	#F7B7B7	10.558547143913	0.247682275956659
Lidocaine	Atenolol	1	Inf	Moderate	1 (1/0)	The beta-blocker increases the effect and toxicity of lidocaine	#B32020	5.2792735719565	1
Lidocaine	Propranolol	0.532	1.106	Moderate	2 (1/1)	The beta-blocker increases the effect and toxicity of lidocaine	#F7B7B7	10.558547143913	1
Valproic acid	Lamotrigine	0.687	3.318	Major	4 (3/1)	Valproic acid increases the effect of lamotrigine	#C95252	21.117094287826	0.00543215775810104
Valproic acid	Risperidone	0.714	-1.809	Moderate	3 (1/2)	Risperidone increases the effect and toxicity of valproic acid	#91B7D7	15.8378207158695	0.237599926347732
Valproic acid	Felbamate	0.668	-1.809	Moderate	3 (1/2)	Felbamate increases the effect of valproate	#91B7D7	15.8378207158695	7.67948653346137e-06
Valproic acid	Phenobarbital	1	1.106	Moderate	2 (1/1)	Valproic acid increases the effect of barbiturate	#F7B7B7	10.558547143913	0.252050025546001
Valproic acid	Fosphenytoin	1	-1.809	Moderate	3 (1/2)	Valproate increases the effect of hydantoin	#91B7D7	15.8378207158695	0.00165017905514196
Acetaminophen	Warfarin	1	Inf	Minor	1 (1/0)	Acetaminophen increases the anticoagulant effect	#B32020	5.2792735719565	1
Acetaminophen	Isoniazid	1	Inf	Moderate	1 (1/0)	Risk of hepatotoxicity	#B32020	5.2792735719565	1
Piperacillin	Methotrexate	0.879	-1.809	Major	3 (1/2)	The penicillin increases the effect and toxicity of methotrexate	#91B7D7	15.8378207158695	0.743711163567806
Piperacillin	Warfarin	1	Inf	Moderate	1 (1/0)	The IV penicillin increases the anticoagulant effect	#B32020	5.2792735719565	1
Piperacillin	Rocuronium	0.952	-1.206	Moderate	14 (6/8)	The agent increases the effect of the muscle relaxant	#ABCBE2	73.909830007391	8.19835917566003e-13
Piperacillin	Mivacurium	1	1.106	Moderate	2 (1/1)	The agent increases the effect of the muscle relaxant	#F7B7B7	10.558547143913	0.470009915685957
Amitriptyline	Phenylephrine	1	Inf	Major	1 (1/0)	The tricyclic increases the sympathomimetic effect	#B32020	5.2792735719565	1
Amitriptyline	Clonidine	1	Inf	Major	2 (2/0)	The tricyclic decreases the effect of clonidine	#B32020	10.558547143913	1
Atenolol	Salbutamol	0.677	2.212	Moderate	3 (2/1)	Antagonism	#E08585	15.8378207158695	1
Atenolol	Ibuprofen	0.511	2.212	Moderate	3 (2/1)	Risk of inhibition of renal prostaglandins	#E08585	15.8378207158695	1
Omeprazole	Midazolam	1	Inf	Moderate	1 (1/0)	Omeprazole increases the effect of benzodiazepine	#B32020	5.2792735719565	1
Omeprazole	Clonazepam	0.689	1.106	Moderate	2 (1/1)	Omeprazole increases the effect of benzodiazepine	#F7B7B7	10.558547143913	0.400747578564495
Sucralfate	Lansoprazole	1	Inf	Moderate	1 (1/0)	Sucralfate decreases the effect of lansoprazole	#B32020	5.2792735719565	1
Sucralfate	Ciprofloxacin	1	Inf	Moderate	1 (1/0)	Formation of non-absorbable complexes	#B32020	5.2792735719565	1
Mirtazapine	Clonidine	1	1.106	Moderate	2 (1/1)	Possible hypertensive crisis	#F7B7B7	10.558547143913	1
