drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Digoxin	Furosemide	0.306	1.384	Moderate	9663 (7301/2362)	The risk or severity of adverse effects can be increased when Furosemide is combined with Digoxin.	#F6B6B6	4392.37255392168	1.08969724435335e-283
Acetaminophen	Acenocoumarol	0.282	-1.073	None	13547 (9150/4397)	Acetaminophen may increase the anticoagulant activities of Acenocoumarol.	#B4D1E6	6157.8672242551	1
Omeprazole	Alprazolam	0.329	1.909	Moderate	8969 (7265/1704)	The metabolism of Alprazolam can be decreased when combined with Omeprazole.	#F1ABAB	4076.9108388827	1
Acetylsalicylic acid	Ibuprofen	0.129	1.121	Major	9944 (7107/2837)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Ibuprofen.	#F8BABA	4520.10272960749	1
Omeprazole	Diazepam	0.198	1.635	Moderate	5717 (4488/1229)	The metabolism of Diazepam can be decreased when combined with Omeprazole.	#F4B1B1	2598.69542489602	1
Prednisone	Acetylsalicylic acid	0.149	-1.2	Moderate	6944 (4517/2427)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Prednisone.	#B1CFE5	3156.43537353122	1
Furosemide	Ibuprofen	0.157	1.281	Moderate	7145 (5295/1850)	The therapeutic efficacy of Furosemide can be decreased when used in combination with Ibuprofen.	#F7B7B7	3247.80108638833	1
Digoxin	Spironolactone	0.334	1.386	Minor	1847 (1396/451)	The serum concentration of Digoxin can be increased when it is combined with Spironolactone.	#F6B6B6	839.564535557626	5.52028801805659e-131
Rivastigmine	Quetiapine	0.331	1.067	Moderate	1086 (765/321)		#F9BCBC	493.647582899611	1.3856563462039e-160
Acetylsalicylic acid	Gliclazide	0.38	-1.167	None	2593 (1703/890)	Acetylsalicylic acid may increase the hypoglycemic activities of Gliclazide.	#B1CFE5	1178.66315143526	1
Omeprazole	Clonazepam	0.256	1.458	Moderate	2175 (1664/511)		#F5B4B4	988.658833155299	1
Amiodarone	Acenocoumarol	0.324	-1.315	None	1274 (802/472)	The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Amiodarone.	#AFCEE4	579.104070547058	1.90262240494201e-49
Allopurinol	Acenocoumarol	0.314	-2.635	None	2247 (1031/1216)	Allopurinol may increase the anticoagulant activities of Acenocoumarol.	#96BBD9	1021.38684970113	6.56542884568818e-19
