drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Haloperidol	Biperiden	0.505	-2.608	Moderate	508 (147/361)		#AECDE3	45.9983266750454	0
Mesalazine	Azathioprine	0.401	-1.277	Moderate	608 (276/332)	The metabolism of Azathioprine can be decreased when combined with Mesalazine.	#B4D1E6	55.0531153906055	0
Omeprazole	Diazepam	0.401	1.419	Moderate	25977 (15616/10361)	The metabolism of Diazepam can be decreased when combined with Omeprazole.	#F8BABA	2352.16246464105	1
Indomethacin	Methotrexate	0.325	1.424	Major	520 (313/207)	The serum concentration of Methotrexate can be increased when it is combined with Indomethacin.	#F8BABA	47.0849013209126	0
Amiodarone	Acenocoumarol	0.399	-3.902	None	201 (43/158)	The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Amiodarone.	#A9C9E1	18.2001253182758	0
Omeprazole	Alprazolam	0.283	1.684	Moderate	13304 (8533/4771)	The metabolism of Alprazolam can be decreased when combined with Omeprazole.	#F8BABA	1204.64909071812	1
Trimethoprim	Leucovorin	0.561	-2.632	Major	567 (163/404)		#AECDE3	51.3406520172258	0
Methotrexate	Hydroxychloroquine	0.295	6.487	Minor	213 (186/27)		#EFA6A6	19.286699964143	3.2293022092454e-213
Pravastatin	Fenofibrate	0.831	-5.038	Major	517 (90/427)	The risk or severity of myopathy and rhabdomyolysis can be increased when Fenofibrate is combined with Pravastatin.	#A5C6DF	46.8132576594458	0
Carbamazepine	Levetiracetam	0.501	-1.597	Moderate	333 (133/200)	The risk or severity of adverse effects can be increased when Carbamazepine is combined with Levetiracetam.	#B2D0E5	30.1524464228152	0
Digoxin	Carvedilol	0.398	-3.805	Moderate	110 (24/86)	Digoxin may increase the bradycardic activities of Carvedilol.	#A9C9E1	9.96026758711612	3.79590243308879e-195
Digoxin	Furosemide	0.417	-2.394	Moderate	179 (55/124)	The risk or severity of adverse effects can be increased when Furosemide is combined with Digoxin.	#AFCEE4	16.2080718008526	1.15035886463968e-274
Digoxin	Spironolactone	0.444	-2.591	Minor	86 (25/61)	The serum concentration of Digoxin can be increased when it is combined with Spironolactone.	#AECDE3	7.7871182953817	5.6106436849528e-141
Omeprazole	Clonazepam	0.302	1.179	Moderate	4248 (2362/1886)		#F9BCBC	384.647424636994	1
Digoxin	Amiodarone	0.357	-4.956	Major	51 (9/42)	The serum concentration of Digoxin can be increased when it is combined with Amiodarone.	#A5C6DF	4.61794224493566	4.31061537048214e-98
Omeprazole	Methotrexate	0.316	1.823	Major	1688 (1113/575)	The serum concentration of Methotrexate can be increased when it is combined with Omeprazole.	#F7B9B9	152.844833518655	7.06462046958939e-91
Lamotrigine	Carbamazepine	0.487	-1.27	Moderate	213 (97/116)	The risk or severity of adverse effects can be increased when Lamotrigine is combined with Carbamazepine.	#B4D1E6	19.286699964143	5.07419074182708e-186
Cholestyramine	Ursodeoxycholic acid	0.279	3.767	None	45 (36/9)	The serum concentration of Ursodeoxycholic acid can be decreased when it is combined with Cholestyramine.	#F4B1B1	4.07465492200205	5.93913074168408e-47
Valproic acid	Carbamazepine	0.563	-1.919	Moderate	320 (114/206)	The serum concentration of the active metabolites of Carbamazepine can be increased when Carbamazepine is used in combination with Valproic Acid.	#B1CFE5	28.9753238897924	5.48468054334124e-241
