drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Amiodarone	Acenocoumarol	0.332	-2.015	None	3312 (1180/2132)	The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Amiodarone.	#AFCEE4	414.572628443037	0
Omeprazole	Alprazolam	0.283	2.192	Moderate	25496 (18096/7400)	The metabolism of Alprazolam can be decreased when combined with Omeprazole.	#F7B7B7	3191.40813248299	1
Omeprazole	Diazepam	0.246	1.784	Moderate	30997 (20632/10365)	The metabolism of Diazepam can be decreased when combined with Omeprazole.	#F7B9B9	3879.98422821522	1
Haloperidol	Biperiden	0.499	-1.058	Moderate	339 (174/165)		#B4D1E6	42.4336114257819	0
Digoxin	Furosemide	0.351	-1.345	Moderate	2793 (1266/1527)	The risk or severity of adverse effects can be increased when Furosemide is combined with Digoxin.	#B2D0E5	349.60789590622	0
Digoxin	Spironolactone	0.354	-1.157	Minor	988 (485/503)	The serum concentration of Digoxin can be increased when it is combined with Spironolactone.	#B4D1E6	123.670820320568	0
Alendronic acid	Ibuprofen	0.159	15.126	Moderate	9562 (9027/535)	The risk or severity of adverse effects can be increased when Ibuprofen is combined with Alendronic acid.	#D87373	1196.90322257618	1
Indomethacin	Methotrexate	0.277	1.459	Major	683 (423/260)	The serum concentration of Methotrexate can be increased when it is combined with Indomethacin.	#F8BABA	85.4930873268702	0
Acetylsalicylic acid	Ibuprofen	0.125	-1.581	Major	22301 (9226/13075)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Ibuprofen.	#B2D0E5	2791.48073276213	1
Acetaminophen	Acenocoumarol	0.212	-1.39	None	11094 (4940/6154)	Acetaminophen may increase the anticoagulant activities of Acenocoumarol.	#B2D0E5	1388.6680978101	1
Acetylsalicylic acid	Gliclazide	0.361	-2.555	None	7898 (2400/5498)	Acetylsalicylic acid may increase the hypoglycemic activities of Gliclazide.	#ACCCE3	988.615525194174	3.90823076940289e-160
Omeprazole	Clonazepam	0.245	1.555	Moderate	6378 (4046/2332)		#F8BABA	798.352724700993	1
Acetylsalicylic acid	Insulin aspart	0.312	-1.792	Moderate	3761 (1443/2318)	Acetylsalicylic acid may increase the hypoglycemic activities of Insulin Aspart.	#B1CFE5	470.775258325562	0
Mesalazine	Azathioprine	0.367	-1.673	Moderate	250 (100/150)	The metabolism of Azathioprine can be decreased when combined with Mesalazine.	#B1CFE5	31.2932237653259	1.86367179366164e-288
Acetylsalicylic acid	Glyburide	0.33	-2.426	Moderate	4689 (1477/3212)	Acetylsalicylic acid may increase the hypoglycemic activities of Glyburide.	#AECDE3	586.935704942452	2.45630606794852e-192
Omeprazole	Methotrexate	0.302	1.469	Major	3481 (2162/1319)	The serum concentration of Methotrexate can be increased when it is combined with Omeprazole.	#F8BABA	435.726847708397	3.78502472845157e-21
Trimethoprim	Leucovorin	0.545	-2.252	Major	474 (157/317)		#AECDE3	59.3319522590578	0
Entacapone	Apomorphine	0.209	-3.068	Moderate	15 (4/11)		#ABCBE2	1.87759342591955	1.23103107718677e-34
Risperidone	Donepezil	0.298	1.139	Moderate	193 (108/85)		#F9BCBC	24.1583687468316	2.78221898506887e-173
Rivastigmine	Quetiapine	0.312	-1.236	Moderate	253 (120/133)		#B4D1E6	31.6687424505098	3.25522052998286e-229
Donepezil	Quetiapine	0.328	1.067	Moderate	230 (125/105)		#F9BCBC	28.7897658640998	2.25963157295459e-186
Diclofenac	Alendronic acid	0.134	14.043	Moderate	3333 (3133/200)	The risk or severity of adverse effects can be increased when Diclofenac is combined with Alendronic acid.	#DA7878	417.201259239324	1
Atenolol	Ibuprofen	0.145	1.233	Moderate	5704 (3303/2401)	Ibuprofen may decrease the antihypertensive activities of Atenolol.	#F9BCBC	713.986193429675	1
Acetylsalicylic acid	Insulin detemir	0.309	-1.752	Moderate	1738 (676/1062)	Acetylsalicylic acid may increase the hypoglycemic activities of Insulin Detemir.	#B1CFE5	217.550491616545	2.05624800746278e-126
Digoxin	Carvedilol	0.329	-2.744	Moderate	865 (250/615)	Digoxin may increase the bradycardic activities of Carvedilol.	#ACCCE3	108.274554228027	0
Warfarin	Amiodarone	0.318	-2.406	Major	382 (121/261)	The therapeutic efficacy of Warfarin can be increased when used in combination with Amiodarone.	#AECDE3	47.8160459134179	1.53788852441967e-242
Bisoprolol	Ibuprofen	0.127	-1.173	Moderate	7831 (3817/4014)	Ibuprofen may decrease the antihypertensive activities of Bisoprolol.	#B4D1E6	980.228941225067	1
Digoxin	Amiodarone	0.335	-2.043	Major	538 (190/348)	The serum concentration of Digoxin can be increased when it is combined with Amiodarone.	#AFCEE4	67.3430175429812	5.05689769271383e-229
Propafenone	Acenocoumarol	0.333	1.071	None	349 (190/159)	The serum concentration of Acenocoumarol can be increased when it is combined with Propafenone.	#F9BCBC	43.6853403763949	9.52766535123384e-140
Pravastatin	Fenofibrate	0.785	-1.956	Major	1231 (447/784)	The risk or severity of myopathy and rhabdomyolysis can be increased when Fenofibrate is combined with Pravastatin.	#AFCEE4	154.087833820465	3.57451199112713e-230
Alendronic acid	Naproxen	0.142	14.549	Moderate	2705 (2548/157)	The risk or severity of adverse effects can be increased when Naproxen is combined with Alendronic acid.	#DA7676	338.592681140826	1
Methotrexate	Hydroxychloroquine	0.261	2.515	Minor	156 (115/41)		#F5B4B4	19.5269716295633	5.48869614905731e-106
Omeprazole	Ketazolam	0.265	2.618	None	1631 (1215/416)		#F5B4B4	204.156991844986	1
Simvastatin	Clarithromycin	0.066	1.302	Major	3815 (2259/1556)	The serum concentration of Simvastatin can be increased when it is combined with Clarithromycin.	#F9BCBC	477.534594658873	1
Digoxin	Verapamil	0.388	-1.188	Moderate	287 (139/148)	The metabolism of Digoxin can be decreased when combined with Verapamil.	#B4D1E6	35.9246208825941	2.0969830875314e-123
Galantamine	Risperidone	0.301	-1.275	Moderate	90 (42/48)		#B4D1E6	11.2655605555173	9.63470192912522e-87
Tramadol	Citalopram	0.208	3.994	Major	2335 (1907/428)	Citalopram may increase the neuroexcitatory activities of Tramadol.	#F2AEAE	292.278709968144	1
Torasemide	Ibuprofen	0.153	1.704	Moderate	3089 (2024/1065)	The therapeutic efficacy of Torasemide can be decreased when used in combination with Ibuprofen.	#F7B9B9	386.659072844366	1
Levothyroxine	Acenocoumarol	0.283	1.886	None	1589 (1077/512)	Levothyroxine may increase the anticoagulant activities of Acenocoumarol.	#F7B9B9	198.899730252411	1
Prednisone	Acetylsalicylic acid	0.15	-2.163	Moderate	5746 (1955/3791)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Prednisone.	#AFCEE4	719.243455022249	1
Tramadol	Fluoxetine	0.211	6.707	Major	1552 (1369/183)	Fluoxetine may increase the neuroexcitatory activities of Tramadol.	#EC9F9F	194.268333135143	1
Allopurinol	Acenocoumarol	0.313	-6.415	None	2599 (385/2214)	Allopurinol may increase the anticoagulant activities of Acenocoumarol.	#9ABEDB	325.324354264328	4.18875615519556e-113
Warfarin	Propafenone	0.268	1.429	Moderate	83 (51/32)	The serum concentration of Warfarin can be increased when it is combined with Propafenone.	#F8BABA	10.3893502900882	1.22589069847048e-52
