drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Haloperidol	Biperiden	0.513	-1.992	Moderate	560 (200/360)		#AECDE3	58.4864337583696	0
Omeprazole	Diazepam	0.333	1.685	Moderate	32638 (21248/11390)	The metabolism of Diazepam can be decreased when combined with Omeprazole.	#F7B7B7	3408.71468751012	1
Amiodarone	Acenocoumarol	0.369	-3.624	None	765 (179/586)	The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Amiodarone.	#A0C3DD	79.8966461163441	0
Omeprazole	Alprazolam	0.274	1.948	Moderate	20267 (13845/6422)	The metabolism of Alprazolam can be decreased when combined with Omeprazole.	#F6B6B6	2116.68670175156	1
Mesalazine	Azathioprine	0.415	-1.34	Moderate	473 (214/259)	The metabolism of Azathioprine can be decreased when combined with Mesalazine.	#B2D0E5	49.4001485137657	0
Indomethacin	Methotrexate	0.31	1.53	Major	781 (491/290)	The serum concentration of Methotrexate can be increased when it is combined with Indomethacin.	#F7B9B9	81.567687080869	0
Digoxin	Furosemide	0.395	-2.418	Moderate	570 (179/391)	The risk or severity of adverse effects can be increased when Furosemide is combined with Digoxin.	#A9C9E1	59.5308343611976	0
Pravastatin	Fenofibrate	0.835	-2.983	Major	1234 (334/900)	The risk or severity of myopathy and rhabdomyolysis can be increased when Fenofibrate is combined with Pravastatin.	#A6C7E0	128.879034388979	0
Trimethoprim	Leucovorin	0.517	-3.026	Major	616 (165/451)		#A5C6DF	64.3350771342065	0
Omeprazole	Clonazepam	0.279	1.516	Moderate	5682 (3560/2122)		#F7B9B9	593.428422526885	1
Digoxin	Spironolactone	0.421	-2.438	Minor	253 (79/174)	The serum concentration of Digoxin can be increased when it is combined with Spironolactone.	#A9C9E1	26.4233352515491	3.56601000743206e-278
Methotrexate	Hydroxychloroquine	0.305	3.921	Minor	267 (217/50)		#EFA6A6	27.8854960955083	3.52927589236412e-226
Digoxin	Amiodarone	0.4	-3.625	Major	171 (40/131)	The serum concentration of Digoxin can be increased when it is combined with Amiodarone.	#A0C3DD	17.8592503083593	1.01341281345717e-227
Entacapone	Apomorphine	0.286	Inf	Moderate	1 (1/0)		#B32020	0.104440060282803	0.224746581492722
Acetylsalicylic acid	Insulin aspart	0.323	-2.533	Moderate	1710 (520/1190)	Acetylsalicylic acid may increase the hypoglycemic activities of Insulin Aspart.	#A9C9E1	178.592503083593	0
Warfarin	Amiodarone	0.311	-2.562	Major	116 (35/81)	The therapeutic efficacy of Warfarin can be increased when used in combination with Amiodarone.	#A9C9E1	12.1150469928051	5.71016428901536e-149
Omeprazole	Methotrexate	0.312	1.84	Major	2909 (1951/958)	The serum concentration of Methotrexate can be increased when it is combined with Omeprazole.	#F6B6B6	303.816135362673	6.92523574404302e-105
Carbamazepine	Levetiracetam	0.523	-1.69	Moderate	288 (114/174)	The risk or severity of adverse effects can be increased when Carbamazepine is combined with Levetiracetam.	#AFCEE4	30.0787373614472	1.00043519999216e-264
Digoxin	Carvedilol	0.365	-5.114	Moderate	281 (50/231)	Digoxin may increase the bradycardic activities of Carvedilol.	#96BBD9	29.3476569394676	1.45274162315553e-315
Trihexyphenidyl	Haloperidol	0.472	-1.107	Moderate	38 (19/19)		#B4D1E6	3.96872229074651	6.51498552112279e-51
Acetylsalicylic acid	Gliclazide	0.371	-3.552	None	2037 (484/1553)	Acetylsalicylic acid may increase the hypoglycemic activities of Gliclazide.	#A2C4DE	212.744402796069	0
Acetylsalicylic acid	Glyburide	0.353	-2.704	Moderate	1119 (325/794)	Acetylsalicylic acid may increase the hypoglycemic activities of Glyburide.	#A8C8E1	116.868427456456	4.03412733480184e-247
Amitriptyline	Duloxetine	0.326	6.29	Major	860 (752/108)	Duloxetine may increase the serotonergic activities of Amitriptyline.	#E69393	89.8184518432104	7.33658772353817e-93
Alendronic acid	Ibuprofen	0.172	12.759	Moderate	2571 (2401/170)	The risk or severity of adverse effects can be increased when Ibuprofen is combined with Alendronic acid.	#D06060	268.515394987086	1
Acetylsalicylic acid	Ibuprofen	0.16	-1.766	Major	8104 (3122/4982)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Ibuprofen.	#AFCEE4	846.382248531834	1
Propranolol	Rizatriptan	0.29	3.935	Moderate	316 (257/59)	The serum concentration of Rizatriptan can be increased when it is combined with Propranolol.	#EFA6A6	33.0030590493657	1.35942829773984e-109
Acetaminophen	Acenocoumarol	0.212	-1.68	None	2528 (1004/1524)	Acetaminophen may increase the anticoagulant activities of Acenocoumarol.	#AFCEE4	264.024472394925	1
Atenolol	Ibuprofen	0.164	1.064	Moderate	3783 (2046/1737)	Ibuprofen may decrease the antihypertensive activities of Atenolol.	#F9BCBC	395.096748049843	1
Fenofibrate	Atorvastatin	0.468	-4.631	Major	1695 (327/1368)	The risk or severity of myopathy and rhabdomyolysis can be increased when Fenofibrate is combined with Atorvastatin.	#99BDDA	177.025902179351	1.27467965507881e-261
Tramadol	Citalopram	0.218	3.125	Major	2096 (1626/470)	Citalopram may increase the neuroexcitatory activities of Tramadol.	#F2ACAC	218.906366352755	1
Tramadol	Fluoxetine	0.216	5.933	Major	1627 (1412/215)	Fluoxetine may increase the neuroexcitatory activities of Tramadol.	#E89696	169.92397808012	1
Lamotrigine	Carbamazepine	0.49	-1.163	Moderate	162 (79/83)	The risk or severity of adverse effects can be increased when Lamotrigine is combined with Carbamazepine.	#B4D1E6	16.9192897658141	4.29826138984943e-114
Acetylsalicylic acid	Insulin detemir	0.301	-2.332	Moderate	522 (168/354)	Acetylsalicylic acid may increase the hypoglycemic activities of Insulin Detemir.	#ABCBE2	54.5177114676231	4.3884104966155e-154
Bisoprolol	Ibuprofen	0.143	-1.303	Moderate	4183 (1921/2262)	Ibuprofen may decrease the antihypertensive activities of Bisoprolol.	#B2D0E5	436.872772162964	1
Valproic acid	Carbamazepine	0.544	-1.931	Moderate	247 (90/157)	The serum concentration of the active metabolites of Carbamazepine can be increased when Carbamazepine is used in combination with Valproic Acid.	#AECDE3	25.7966948898523	8.19236587695722e-161
Levothyroxine	Iron	0.2	31.882	Moderate	871 (847/24)	The serum concentration of Levothyroxine can be decreased when it is combined with Iron.	#B32020	90.9672925063212	1.93537508492468e-07
Digoxin	Verapamil	0.408	-1.208	Moderate	46 (22/24)	The metabolism of Digoxin can be decreased when combined with Verapamil.	#B2D0E5	4.80424277300893	6.07660875154786e-37
Fluvoxamine	Clomipramine	0.46	-1.089	Major	123 (62/61)	The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Clomipramine.	#B4D1E6	12.8461274147847	3.05813603383689e-97
Omeprazole	Ketazolam	0.266	2.273	None	1206 (863/343)		#F5B2B2	125.95471270106	1
Amitriptyline	Fluoxetine	0.314	7.633	Major	841 (752/89)	The risk or severity of adverse effects can be increased when Fluoxetine is combined with Amitriptyline.	#E18888	87.8340906978372	1
Repaglinide	Gliclazide	0.249	-1.667	None	223 (89/134)	Repaglinide may increase the hypoglycemic activities of Gliclazide.	#AFCEE4	23.290133443065	6.30075789531858e-67
Diltiazem	Atorvastatin	0.474	-3.03	Moderate	568 (152/416)	The serum concentration of Diltiazem can be increased when it is combined with Atorvastatin.	#A5C6DF	59.321954240632	5.19234715598139e-166
Mesalazine	Mercaptopurine	0.35	-1.181	Moderate	31 (15/16)	The metabolism of Mercaptopurine can be decreased when combined with Mesalazine.	#B4D1E6	3.23764186876689	8.11505340510795e-38
Haloperidol	Lithium cation	0.363	-1.493	Major	101 (43/58)	Lithium may increase the neurotoxic activities of Haloperidol.	#B1CFE5	10.5484460885631	1.71713890082959e-76
Tacrolimus	Atorvastatin	0.419	-1.717	Moderate	597 (234/363)	The risk or severity of adverse effects can be increased when Tacrolimus is combined with Atorvastatin.	#AFCEE4	62.3507159888333	5.02970450874831e-67
Tramadol	Paroxetine	0.195	3.655	Major	1650 (1323/327)	Paroxetine may increase the neuroexcitatory activities of Tramadol.	#F0A7A7	172.326099466625	1
Cholestyramine	Ursodeoxycholic acid	0.319	2.452	None	52 (38/14)	The serum concentration of Ursodeoxycholic acid can be decreased when it is combined with Cholestyramine.	#F4B1B1	5.43088313470575	9.85866257662816e-37
Simvastatin	Fenofibrate	0.4	-3.274	Major	1856 (469/1387)	The risk or severity of myopathy and rhabdomyolysis can be increased when Fenofibrate is combined with Simvastatin.	#A3C5DF	193.840751884882	0.000222627384091023
Sulfasalazine	Azathioprine	0.518	1.737	Moderate	38 (25/13)		#F7B7B7	3.96872229074651	1.74970340932568e-31
Propranolol	Ibuprofen	0.198	2.179	Moderate	1713 (1211/502)	Ibuprofen may decrease the antihypertensive activities of Propranolol.	#F5B4B4	178.905823264441	1
Methotrexate	Naproxen	0.247	1.886	Major	809 (547/262)	The serum concentration of Methotrexate can be increased when it is combined with Naproxen.	#F6B6B6	84.4920087687875	1
Ranolazine	Diltiazem	0.349	-1.107	Major	20 (10/10)	The serum concentration of Ranolazine can be increased when it is combined with Diltiazem.	#B4D1E6	2.08880120565606	3.9220229483557e-17
Propafenone	Acenocoumarol	0.324	-2.056	None	60 (21/39)	The serum concentration of Acenocoumarol can be increased when it is combined with Propafenone.	#ACCCE3	6.26640361696817	1.92260721034598e-48
Phenytoin	Lamotrigine	0.507	-1.832	Moderate	77 (29/48)	The serum concentration of Lamotrigine can be decreased when it is combined with Phenytoin.	#AECDE3	8.04188464177582	1.10745752365391e-60
Tramadol	Escitalopram	0.217	2.904	Major	1041 (794/247)	Escitalopram may increase the neuroexcitatory activities of Tramadol.	#F2AEAE	108.722102754398	1
Carbamazepine	Risperidone	0.399	-1.966	Moderate	161 (58/103)	The serum concentration of Risperidone can be decreased when it is combined with Carbamazepine.	#AECDE3	16.8148497055313	2.55510245432158e-82
Fluoxetine	Clomipramine	0.348	2.042	Major	326 (226/100)	The risk or severity of adverse effects can be increased when Fluoxetine is combined with Clomipramine.	#F5B4B4	34.0474596521937	4.78150976749466e-27
Torasemide	Ibuprofen	0.191	2.091	Moderate	1180 (824/356)	The therapeutic efficacy of Torasemide can be decreased when used in combination with Ibuprofen.	#F5B4B4	123.239271133707	1
Cyclosporine	Allopurinol	0.364	-3.485	Moderate	112 (27/85)		#A2C4DE	11.6972867516739	1.82234181332453e-41
Prednisone	Acetylsalicylic acid	0.221	-1.644	Moderate	1722 (693/1029)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Prednisone.	#AFCEE4	179.845783806986	1
Topiramate	Lithium cation	0.332	1.293	Moderate	141 (83/58)	The serum concentration of Lithium can be increased when it is combined with Topiramate.	#F8BABA	14.7260484998752	9.18677149388135e-50
Simvastatin	Clarithromycin	0.11	1.226	Major	1572 (905/667)	The serum concentration of Simvastatin can be increased when it is combined with Clarithromycin.	#F8BABA	164.179774764566	1
Acetylsalicylic acid	Insulin glulisine	0.287	-2.818	Moderate	273 (77/196)	Acetylsalicylic acid may increase the hypoglycemic activities of Insulin Glulisine.	#A6C7E0	28.5121364572052	1.08338418372295e-80
Furosemide	Ibuprofen	0.239	1.242	Moderate	1743 (1009/734)	The therapeutic efficacy of Furosemide can be decreased when used in combination with Ibuprofen.	#F8BABA	182.039025072925	1
Carbamazepine	Simvastatin	0.364	1.024	Moderate	478 (254/224)	The metabolism of Simvastatin can be increased when combined with Carbamazepine.	#F9BCBC	49.9223488151797	1
Propranolol	Paroxetine	0.299	2.551	Moderate	455 (336/119)	The metabolism of Propranolol can be decreased when combined with Paroxetine.	#F4B1B1	47.5202274286753	1
Fluvoxamine	Olanzapine	0.487	-1.882	Moderate	108 (40/68)	The metabolism of Olanzapine can be decreased when combined with Fluvoxamine.	#AECDE3	11.2795265105427	1.46582539761403e-64
Tacrolimus	Nifedipine	0.464	-2.44	Moderate	141 (44/97)	The serum concentration of Tacrolimus can be increased when it is combined with Nifedipine.	#A9C9E1	14.7260484998752	3.70833367408624e-81
Diltiazem	Amiodarone	0.341	-3.03	Major	71 (19/52)	The risk or severity of bradycardia can be increased when Diltiazem is combined with Amiodarone.	#A5C6DF	7.415244280079	1.90111495877357e-45
Omeprazole	Itraconazole	0.194	1.519	Moderate	1346 (844/502)	The serum concentration of Itraconazole can be decreased when it is combined with Omeprazole.	#F7B9B9	140.576321140653	1
Alprazolam	Clarithromycin	0.154	2.581	Moderate	1103 (817/286)	The serum concentration of Alprazolam can be increased when it is combined with Clarithromycin.	#F4B1B1	115.197386491931	1
Acetylsalicylic acid	Acenocoumarol	0.302	-3.528	None	670 (160/510)	Acetylsalicylic acid may increase the anticoagulant activities of Acenocoumarol.	#A2C4DE	69.9748403894779	2.38587845372823e-22
Omeprazole	Midazolam	0.256	1.415	Moderate	480 (293/187)		#F7B9B9	50.1312289357453	1
Diclofenac	Alendronic acid	0.174	7.699	Moderate	838 (750/88)	The risk or severity of adverse effects can be increased when Diclofenac is combined with Alendronic acid.	#E18888	87.5207705169887	1
Spironolactone	Enalapril	0.412	-3.158	Major	836 (217/619)	The risk or severity of adverse effects can be increased when Spironolactone is combined with Enalapril.	#A5C6DF	87.3118903964231	5.83014642011876e-15
Fenofibrate	Rosuvastatin	0.445	-4.981	Major	396 (72/324)	The risk or severity of myopathy and rhabdomyolysis can be increased when Fenofibrate is combined with Rosuvastatin.	#97BCD9	41.3582638719899	2.81117561804548e-114
Levothyroxine	Acenocoumarol	0.293	1.87	None	353 (238/115)	Levothyroxine may increase the anticoagulant activities of Acenocoumarol.	#F6B6B6	36.8673412798294	1
Cyclosporine	Carvedilol	0.5	-1.923	Moderate	52 (19/33)	The serum concentration of Cyclosporine can be increased when it is combined with Carvedilol.	#AECDE3	5.43088313470575	1.06186428208594e-27
Simvastatin	Gemfibrozil	0.266	-3.624	Major	1483 (347/1136)	The risk or severity of rhabdomyolysis. myoglobinuria. and elevated creatine kinase (CPK) can be increased when Gemfibrozil is combined with Simvastatin.	#A0C3DD	154.884609399397	1
Trimethoprim	Rifampicin	0.538	-1.575	Moderate	63 (26/37)	The metabolism of Trimethoprim can be increased when combined with Rifampicin.	#B1CFE5	6.57972379781658	7.93626625975888e-33
Omeprazole	Flurazepam	0.259	1.643	Moderate	420 (271/149)		#F7B7B7	43.8648253187772	1
Topiramate	Carbamazepine	0.5	-1.277	Moderate	168 (78/90)	The serum concentration of Topiramate can be decreased when it is combined with Carbamazepine.	#B2D0E5	17.5459301275109	9.52801968056659e-57
Cyclosporine	Sulfamethoxazole	0.277	-2.743	Major	80 (23/57)	Sulfamethoxazole may increase the nephrotoxic activities of Cyclosporine.	#A8C8E1	8.35520482262422	2.58434141636209e-60
Amitriptyline	Salbutamol	0.191	4.15	Moderate	744 (611/133)	The risk or severity of adverse effects can be increased when Amitriptyline is combined with Salbutamol.	#EEA4A4	77.7034048504053	1
Propranolol	Escitalopram	0.285	1.735	None	333 (219/114)		#F7B7B7	34.7785400741733	0.00212366850602143
Repaglinide	Glyburide	0.243	-2.004	None	104 (37/67)	Repaglinide may increase the hypoglycemic activities of Glyburide.	#ACCCE3	10.8617662694115	2.83625882080658e-30
Sucralfate	Lansoprazole	0.39	1.52	Moderate	110 (69/41)		#F7B9B9	11.4884066311083	5.21673276759191e-27
Alendronic acid	Naproxen	0.175	10.405	Moderate	726 (668/58)	The risk or severity of adverse effects can be increased when Naproxen is combined with Alendronic acid.	#D87373	75.8234837653148	1
