drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Amiodarone	Acenocoumarol	0.256	-1.331	None	21954 (9815/12139)	The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Amiodarone.	#B4D1E6	395.145793930947	0
Digoxin	Furosemide	0.271	1.489	Moderate	36441 (22435/14006)	The risk or severity of adverse effects can be increased when Furosemide is combined with Digoxin.	#F9BCBC	655.894501076689	0
Mesalazine	Azathioprine	0.283	-1.277	Moderate	3176 (1452/1724)	The metabolism of Azathioprine can be decreased when combined with Mesalazine.	#B4D1E6	57.1642088696678	0
Trimethoprim	Leucovorin	0.522	-2.113	Major	4550 (1535/3015)		#B1CFE5	81.8945687522004	0
Omeprazole	Diazepam	0.223	1.656	Moderate	253473 (162337/91136)	The metabolism of Diazepam can be decreased when combined with Omeprazole.	#F8BABA	4562.21143413769	1
Acetylsalicylic acid	Gliclazide	0.257	-1.648	None	36543 (14436/22107)	Acetylsalicylic acid may increase the hypoglycemic activities of Gliclazide.	#B2D0E5	657.730379321243	0
Haloperidol	Biperiden	0.409	-1.401	Moderate	3437 (1493/1944)		#B4D1E6	61.8618973189698	0
Rivastigmine	Quetiapine	0.266	1.364	Moderate	6577 (3912/2665)		#F9BCBC	118.378149161148	0
Allopurinol	Acenocoumarol	0.23	-2.675	None	18923 (5428/13495)	Allopurinol may increase the anticoagulant activities of Acenocoumarol.	#AFCEE4	340.591411977558	0
Digoxin	Spironolactone	0.294	1.356	Minor	10201 (6053/4148)	The serum concentration of Digoxin can be increased when it is combined with Spironolactone.	#F9BCBC	183.605823261801	0
Acetaminophen	Acenocoumarol	0.178	1.078	None	98427 (52844/45583)	Acetaminophen may increase the anticoagulant activities of Acenocoumarol.	#F9BCBC	1771.56850957644	1
Acetylsalicylic acid	Glyburide	0.241	-1.532	Moderate	22535 (9298/13237)	Acetylsalicylic acid may increase the hypoglycemic activities of Glyburide.	#B4D1E6	405.603100402381	0
Omeprazole	Alprazolam	0.201	2.126	Moderate	167507 (116550/50957)	The metabolism of Alprazolam can be decreased when combined with Omeprazole.	#F7B9B9	3014.92605010436	1
Digoxin	Carvedilol	0.258	-1.247	Moderate	6134 (2841/3293)	Digoxin may increase the bradycardic activities of Carvedilol.	#B4D1E6	110.404677961758	0
Pravastatin	Fenofibrate	0.715	-2.161	Major	7022 (2334/4688)	The risk or severity of myopathy and rhabdomyolysis can be increased when Fenofibrate is combined with Pravastatin.	#B1CFE5	126.387617973176	0
Acetylsalicylic acid	Insulin aspart	0.219	-1.423	Moderate	16312 (7023/9289)	Acetylsalicylic acid may increase the hypoglycemic activities of Insulin Aspart.	#B4D1E6	293.596528678218	0
Acetylsalicylic acid	Ibuprofen	0.092	-1.134	Major	133691 (65077/68614)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Ibuprofen.	#B4D1E6	2406.27841561548	1
Donepezil	Quetiapine	0.28	1.731	Moderate	5690 (3702/1988)		#F8BABA	102.413207956048	0
Prednisone	Acetylsalicylic acid	0.116	-1.301	Moderate	49297 (22314/26983)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Prednisone.	#B4D1E6	887.287155115873	1
Risperidone	Donepezil	0.235	1.938	Moderate	4958 (3351/1607)		#F8BABA	89.2380817304196	0
Omeprazole	Clonazepam	0.183	1.511	Moderate	47811 (29604/18207)		#F9BCBC	860.540928925594	1
Trazodone	Rivastigmine	0.233	1.509	Moderate	4027 (2492/1535)		#F9BCBC	72.4811930472771	0
Digoxin	Amiodarone	0.26	-1.152	Major	4526 (2186/2340)	The serum concentration of Digoxin can be increased when it is combined with Amiodarone.	#B4D1E6	81.4625974005404	0
Acetylsalicylic acid	Acenocoumarol	0.141	-1.795	None	22193 (8317/13876)	Acetylsalicylic acid may increase the anticoagulant activities of Acenocoumarol.	#B2D0E5	399.447508641227	1
Warfarin	Amiodarone	0.26	-1.465	Major	2218 (939/1279)	The therapeutic efficacy of Warfarin can be increased when used in combination with Amiodarone.	#B4D1E6	39.9213524159078	0
Acetylsalicylic acid	Insulin detemir	0.236	-1.128	Moderate	9894 (4830/5064)	Acetylsalicylic acid may increase the hypoglycemic activities of Insulin Detemir.	#B4D1E6	178.080189721818	0
Spironolactone	Enalapril	0.258	-1.176	Major	17416 (8322/9094)	The risk or severity of adverse effects can be increased when Spironolactone is combined with Enalapril.	#B4D1E6	313.467210854576	1.63197702255035e-303
Fenofibrate	Atorvastatin	0.306	-2.786	Major	9217 (2568/6649)	The risk or severity of myopathy and rhabdomyolysis can be increased when Fenofibrate is combined with Atorvastatin.	#AFCEE4	165.894997843743	0
Diltiazem	Atorvastatin	0.337	-1.637	Moderate	8863 (3515/5348)	The serum concentration of Diltiazem can be increased when it is combined with Atorvastatin.	#B2D0E5	159.523420406759	0
Bisoprolol	Gliclazide	0.233	-1.548	None	11797 (4838/6959)	Bisoprolol may increase the hypoglycemic activities of Gliclazide.	#B2D0E5	212.331918147188	0
Carbamazepine	Levetiracetam	0.344	-1.208	Moderate	1845 (869/976)	The risk or severity of adverse effects can be increased when Carbamazepine is combined with Levetiracetam.	#B4D1E6	33.2077976588593	0
Indomethacin	Methotrexate	0.233	1.463	Major	4369 (2672/1697)	The serum concentration of Methotrexate can be increased when it is combined with Indomethacin.	#F9BCBC	78.6367848084315	0
Galantamine	Quetiapine	0.276	1.357	Moderate	2588 (1536/1052)	Galantamine may increase the QTc-prolonging activities of Quetiapine.	#F9BCBC	46.5809107539988	0
Trazodone	Donepezil	0.251	1.998	Moderate	4164 (2842/1322)		#F8BABA	74.9470295130027	0
Galantamine	Risperidone	0.236	1.575	Moderate	2495 (1569/926)		#F8BABA	44.9070217663165	0
Diltiazem	Simvastatin	0.306	-1.152	Major	12317 (5947/6370)	The serum concentration of Simvastatin can be increased when it is combined with Diltiazem.	#B4D1E6	221.691297433154	4.19941886740397e-155
Entacapone	Apomorphine	0.153	-1.375	Moderate	41 (18/23)		#B4D1E6	0.737951059085761	7.99388869344626e-87
Valproic acid	Carbamazepine	0.375	-1.451	Moderate	1609 (685/924)	The serum concentration of the active metabolites of Carbamazepine can be increased when Carbamazepine is used in combination with Valproic Acid.	#B4D1E6	28.9600793675363	0
Levofloxacin	Acenocoumarol	0.072	-1.344	None	13841 (6153/7688)	Levofloxacin may increase the anticoagulant activities of Acenocoumarol.	#B4D1E6	249.121478263562	1
Simvastatin	Fenofibrate	0.256	-2.128	Major	11273 (3786/7487)	The risk or severity of myopathy and rhabdomyolysis can be increased when Fenofibrate is combined with Simvastatin.	#B1CFE5	202.900543635946	1
Omeprazole	Methotrexate	0.22	1.657	Major	18918 (12119/6799)	The serum concentration of Methotrexate can be increased when it is combined with Omeprazole.	#F8BABA	340.501417945962	7.32528124468801e-145
Fluvoxamine	Clomipramine	0.296	-1.122	Major	813 (398/415)	The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Clomipramine.	#B4D1E6	14.6330295374811	0
Trazodone	Galantamine	0.242	1.431	Moderate	1930 (1170/760)		#F9BCBC	34.7376961959883	0
Simvastatin	Amiodarone	0.226	-1.424	Major	9893 (4258/5635)	The serum concentration of Simvastatin can be increased when it is combined with Amiodarone.	#B4D1E6	178.062190915498	1.24683338785829e-10
Simvastatin	Colchicine	0.094	-4.29	Major	7401 (1484/5917)	Colchicine may increase the myopathic rhabdomyolysis activities of Simvastatin.	#ABCBE2	133.20916556814	1
Prednisone	Acenocoumarol	0.118	-1.2	None	16020 (7573/8447)		#B4D1E6	288.340877233022	1
Bisoprolol	Repaglinide	0.239	-1.389	Moderate	6035 (2634/3401)		#B4D1E6	108.62279613616	0
Methotrexate	Hydroxychloroquine	0.222	3.815	Minor	1618 (1301/317)		#F5B4B4	29.1220686244088	0
Ciprofloxacin	Acenocoumarol	0.073	-1.414	None	15642 (6758/8884)		#B4D1E6	281.537328444378	1
Lamotrigine	Carbamazepine	0.346	1.022	Moderate	949 (497/452)	The risk or severity of adverse effects can be increased when Lamotrigine is combined with Carbamazepine.	#F9BCBC	17.0808671968875	0
Bisoprolol	Salmeterol	0.202	-1.692	Moderate	9631 (3744/5887)	Bisoprolol may decrease the bronchodilatory activities of Salmeterol.	#B2D0E5	173.346503659877	1
Levothyroxine	Acenocoumarol	0.217	2.406	None	11065 (7982/3083)	Levothyroxine may increase the anticoagulant activities of Acenocoumarol.	#F7B9B9	199.15679192156	4.21406872883696e-24
Bisoprolol	Formoterol	0.158	-1.355	Moderate	11619 (5143/6476)	Bisoprolol may decrease the bronchodilatory activities of Formoterol.	#B4D1E6	209.128130622377	1
Omeprazole	Cilostazol	0.158	-3.838	Major	6107 (1337/4770)	The serum concentration of Cilostazol can be increased when it is combined with Omeprazole.	#ACCCE3	109.91871019114	1
Bisoprolol	Ibuprofen	0.083	-1.002	Moderate	44276 (22921/21355)	Ibuprofen may decrease the antihypertensive activities of Bisoprolol.	#B4D1E6	796.915148587346	1
Pentoxifylline	Acenocoumarol	0.242	-2.233	None	3921 (1275/2646)	Pentoxifylline may increase the anticoagulant activities of Acenocoumarol.	#B1CFE5	70.5733195774456	2.16728395203784e-132
Repaglinide	Gliclazide	0.16	-1.196	None	3663 (1735/1928)	Repaglinide may increase the hypoglycemic activities of Gliclazide.	#B4D1E6	65.9296275471011	0
Simvastatin	Gemfibrozil	0.148	-2.106	Major	9848 (3330/6518)	The risk or severity of rhabdomyolysis. myoglobinuria. and elevated creatine kinase (CPK) can be increased when Gemfibrozil is combined with Simvastatin.	#B1CFE5	177.252244631136	1
