drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Amiodarone	Acenocoumarol	0.361	-3.21	None	1347 (348/999)	The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Amiodarone.	#9CBFDB	149.308823187095	0
Omeprazole	Diazepam	0.301	1.694	Moderate	32681 (21387/11294)	The metabolism of Diazepam can be decreased when combined with Omeprazole.	#F5B4B4	3622.54020087413	1
Haloperidol	Biperiden	0.491	-1.819	Moderate	486 (185/301)		#ABCBE2	53.8708894349875	0
Omeprazole	Alprazolam	0.276	2.066	Moderate	22792 (15905/6887)	The metabolism of Alprazolam can be decreased when combined with Omeprazole.	#F4B1B1	2526.3895308688	1
Digoxin	Furosemide	0.379	-1.737	Moderate	978 (383/595)	The risk or severity of adverse effects can be increased when Furosemide is combined with Digoxin.	#ACCCE3	108.406851579049	0
Indomethacin	Methotrexate	0.305	1.518	Major	882 (555/327)	The serum concentration of Methotrexate can be increased when it is combined with Indomethacin.	#F7B7B7	97.7656882338662	0
Mesalazine	Azathioprine	0.388	-1.376	Moderate	377 (169/208)	The metabolism of Azathioprine can be decreased when combined with Mesalazine.	#B1CFE5	41.7887352201446	0
Digoxin	Spironolactone	0.393	-1.953	Minor	423 (154/269)	The serum concentration of Digoxin can be increased when it is combined with Spironolactone.	#A9C9E1	46.8876259897113	0
Omeprazole	Clonazepam	0.267	1.609	Moderate	6113 (3929/2184)		#F6B6B6	677.598245094812	1
Acetylsalicylic acid	Insulin aspart	0.311	-2.246	Moderate	2395 (796/1599)	Acetylsalicylic acid may increase the hypoglycemic activities of Insulin Aspart.	#A6C7E0	265.474856372006	0
Pravastatin	Fenofibrate	0.814	-2.258	Major	1404 (465/939)	The risk or severity of myopathy and rhabdomyolysis can be increased when Fenofibrate is combined with Pravastatin.	#A6C7E0	155.627013923297	0
Omeprazole	Methotrexate	0.311	1.628	Major	3430 (2214/1216)	The serum concentration of Methotrexate can be increased when it is combined with Omeprazole.	#F6B6B6	380.199898687257	1.24599844298863e-94
Trimethoprim	Leucovorin	0.508	-2.553	Major	509 (155/354)		#A3C5DF	56.4203348197708	0
Alendronic acid	Ibuprofen	0.163	19.07	Moderate	5625 (5373/252)	The risk or severity of adverse effects can be increased when Ibuprofen is combined with Alendronic acid.	#B32020	623.5056647568	1
Digoxin	Amiodarone	0.335	-2.795	Major	273 (78/195)	The serum concentration of Digoxin can be increased when it is combined with Amiodarone.	#A0C3DD	30.2608082628633	1.15926374835892e-270
Methotrexate	Hydroxychloroquine	0.346	3.742	Minor	254 (205/49)		#EB9C9C	28.1547446841293	9.46898729175759e-197
Acetylsalicylic acid	Gliclazide	0.359	-3.254	None	3813 (975/2838)	Acetylsalicylic acid may increase the hypoglycemic activities of Gliclazide.	#9CBFDB	422.653706616476	0
Warfarin	Amiodarone	0.325	-2.647	Major	165 (49/116)	The therapeutic efficacy of Warfarin can be increased when used in combination with Amiodarone.	#A2C4DE	18.2894994995328	1.78859965253353e-171
Carbamazepine	Levetiracetam	0.527	-1.237	Moderate	238 (113/125)	The risk or severity of adverse effects can be increased when Carbamazepine is combined with Levetiracetam.	#B2D0E5	26.3812174599321	1.61401608988495e-197
Acetylsalicylic acid	Ibuprofen	0.147	-1.681	Major	12001 (4793/7208)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Ibuprofen.	#ACCCE3	1330.25626359935	1
Acetylsalicylic acid	Glyburide	0.348	-2.773	Moderate	2095 (602/1493)	Acetylsalicylic acid may increase the hypoglycemic activities of Glyburide.	#A0C3DD	232.22122091831	3.5086211446805e-287
Trimipramine	Moclobemide	0.167	Inf	None	1 (1/0)	Moclobemide may increase the serotonergic activities of Trimipramine.	#B32020	0.11084545151232	1
Digoxin	Carvedilol	0.359	-4.3	Moderate	441 (91/350)	Digoxin may increase the bradycardic activities of Carvedilol.	#90B6D6	48.8828441169331	0
Digoxin	Verapamil	0.425	-1.061	Moderate	115 (59/56)	The metabolism of Digoxin can be decreased when combined with Verapamil.	#B4D1E6	12.7472269239168	3.18085927603303e-88
Acetylsalicylic acid	Insulin detemir	0.314	-1.931	Moderate	900 (330/570)	Acetylsalicylic acid may increase the hypoglycemic activities of Insulin Detemir.	#ABCBE2	99.7609063610879	2.88049656028863e-198
