id	label	value	color	category
Alteplase	Alteplase	0.00171600171600172	#E43E22	Coagulation modifiers
Insulin lispro	Insulin lispro	0.0336559175421735	#A1CE5E	Metabolic agents
Insulin glargine	Insulin glargine	0.0546409257857921	#A1CE5E	Metabolic agents
Cyclosporine	Cyclosporine	0.090495867768595	#CED75C	Immunologic agents
Oxytocin	Oxytocin	0.022148523108551	#FACF63	Genitourinary tract agents
Folic acid	Folic acid	0.00153030404725149	#DBDFC3	Nutritional products
Pravastatin	Pravastatin	0.00309689851348871	#A1CE5E	Metabolic agents
Fluvoxamine	Fluvoxamine	0.0579710144927536	#AEC6CC	Psychotherapeutic agents
Valsartan	Valsartan	0.00226644555002764	#FFB6AD	Cardiovascular agents
Ramipril	Ramipril	0.00853560949586556	#FFB6AD	Cardiovascular agents
Amphetamine	Amphetamine	0.0142105263157895	#F68B69	CNS agents
Lorazepam	Lorazepam	0.00164621521991617	#F68B69	CNS agents
Esmolol	Esmolol	0.0751569352480867	#FFB6AD	Cardiovascular agents
Phentermine	Phentermine	0.0188986640599544	#F68B69	CNS agents
Tramadol	Tramadol	0.00904065040650407	#F68B69	CNS agents
Fluconazole	Fluconazole	0.0427484852391388	#EC00BC	Anti-infectives
Erythromycin	Erythromycin	0.0454723637789102	#EC00BC	Anti-infectives
Caffeine	Caffeine	0.00153256704980843	#F68B69	CNS agents
Succinylcholine	Succinylcholine	0.0189155959088268	#F68B69	CNS agents
Sildenafil	Sildenafil	0.00649764301184864	#FACF63	Genitourinary tract agents
Dofetilide	Dofetilide	0.00087719298245614	#FFB6AD	Cardiovascular agents
Azithromycin	Azithromycin	0.00188494045499162	#EC00BC	Anti-infectives
Trospium	Trospium	0.0613496932515337	#FACF63	Genitourinary tract agents
Midodrine	Midodrine	0.0594689139767849	#FFB6AD	Cardiovascular agents
Pantoprazole	Pantoprazole	5.74992558919826e-05	#FBAF5F	Gastrointestinal agents
Torasemide	Torasemide	0.0017856505124817	#FFB6AD	Cardiovascular agents
Citalopram	Citalopram	0.0377669460321913	#AEC6CC	Psychotherapeutic agents
Eletriptan	Eletriptan	0.0432098765432099	#F68B69	CNS agents
Moxifloxacin	Moxifloxacin	0.0108907320591417	#EC00BC	Anti-infectives
Glimepiride	Glimepiride	0.00341630063445583	#A1CE5E	Metabolic agents
Lovastatin	Lovastatin	0.0211676340047798	#A1CE5E	Metabolic agents
Pregabalin	Pregabalin	0.000746268656716418	#F68B69	CNS agents
Nevirapine	Nevirapine	0.0256410256410256	#EC00BC	Anti-infectives
Butalbital	Butalbital	0.0439244344243178	#F68B69	CNS agents
Ranolazine	Ranolazine	0.0131801284217641	#FFB6AD	Cardiovascular agents
Mesalazine	Mesalazine	0.00885328836424958	#FBAF5F	Gastrointestinal agents
Benzatropine	Benzatropine	0.0241691842900302	#F68B69	CNS agents
Ziprasidone	Ziprasidone	0.00435634937922021	#AEC6CC	Psychotherapeutic agents
Dapsone	Dapsone	0.0175077239958805	#EC00BC	Anti-infectives
Phenytoin	Phenytoin	0.118608452019612	#F68B69	CNS agents
Doxycycline	Doxycycline	0.0563183262631331	#EC00BC	Anti-infectives
Metoprolol	Metoprolol	0.072242703727634	#FFB6AD	Cardiovascular agents
Ropinirole	Ropinirole	0.00211442786069652	#F68B69	CNS agents
Topiramate	Topiramate	0.00630282194528005	#F68B69	CNS agents
Theophylline	Theophylline	0.00466200466200466	#1A86A8	Respiratory agents
Liothyronine	Liothyronine	0.00112930547713156	#FFEF6C	Hormones
Disopyramide	Disopyramide	0.5	#FFB6AD	Cardiovascular agents
