drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Omeprazole	Alprazolam	0.298	2.266	Moderate	22016 (16286/5730)	The metabolism of Alprazolam can be decreased when combined with Omeprazole.	#F5B4B4	3427.63907658008	1
Digoxin	Furosemide	0.331	1.034	Moderate	6986 (3944/3042)	The risk or severity of adverse effects can be increased when Furosemide is combined with Digoxin.	#F9BCBC	1087.64019753763	0
Amiodarone	Acenocoumarol	0.335	-1.429	None	5283 (2469/2814)	The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Amiodarone.	#B2D0E5	822.502599998754	0
Omeprazole	Diazepam	0.215	1.717	Moderate	21348 (14579/6769)	The metabolism of Diazepam can be decreased when combined with Omeprazole.	#F7B7B7	3323.63912640042	1
Acetaminophen	Acenocoumarol	0.235	-1.125	None	25191 (13278/11913)	Acetaminophen may increase the anticoagulant activities of Acenocoumarol.	#B4D1E6	3921.95021702984	1
Rivastigmine	Quetiapine	0.313	-1.004	Moderate	1466 (814/652)		#B4D1E6	228.239411621839	0
Digoxin	Spironolactone	0.353	1.147	Minor	2121 (1251/870)	The serum concentration of Digoxin can be increased when it is combined with Spironolactone.	#F9BCBC	330.215410675252	0
Acetylsalicylic acid	Ibuprofen	0.13	-1.259	Major	23159 (11556/11603)	The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Ibuprofen.	#B2D0E5	3605.59108714199	1
Donepezil	Quetiapine	0.342	1.408	Moderate	1134 (724/410)		#F8BABA	176.550813628353	0
Risperidone	Donepezil	0.295	1.504	Moderate	958 (626/332)		#F7B9B9	149.149629149878	0
Alendronic acid	Ibuprofen	0.168	9.142	Moderate	7354 (6764/590)	The risk or severity of adverse effects can be increased when Ibuprofen is combined with Alendronic acid.	#DF8181	1144.93358326535	1
Acetylsalicylic acid	Gliclazide	0.367	-1.792	None	8789 (3618/5171)	Acetylsalicylic acid may increase the hypoglycemic activities of Gliclazide.	#AFCEE4	1368.34664989382	1
Haloperidol	Biperiden	0.464	1.259	Moderate	276 (169/107)		#F8BABA	42.9700392957896	1.02978474789476e-237
Omeprazole	Clonazepam	0.241	1.42	Moderate	5834 (3736/2098)		#F8BABA	908.28699004216	1
