drug1	drug2	strength	RR	severity	patients.fem.mal	description	color	onethousand	fdr
Mesalazine	Azathioprine	0.417	1.401	Moderate	14 (8/6)	The metabolism of Azathioprine can be decreased when combined with Mesalazine.	#F2ACAC	4.03621057487171	3.78656983492565e-37
Spironolactone	Captopril	0.508	1.2	Major	15 (8/7)	The risk or severity of adverse effects can be increased when Spironolactone is combined with Captopril.	#F5B4B4	4.32451133021969	1.9770736573399e-37
Fluvoxamine	Lithium cation	0.4	Inf	Major	1 (1/0)	Lithium may increase the serotonergic activities of Fluvoxamine.	#B32020	0.288300755347979	0.11466074950035
Cyclosporine	Itraconazole	0.421	3.151	Major	8 (6/2)	The metabolism of Cyclosporine can be decreased when combined with Itraconazole.	#D26767	2.30640604278383	2.13067571551298e-16
Carbamazepine	Levetiracetam	0.38	-1.379	Moderate	71 (29/42)	The risk or severity of adverse effects can be increased when Carbamazepine is combined with Levetiracetam.	#A6C7E0	20.4693536297065	1.11607538127305e-117
Digoxin	Spironolactone	0.452	-2.856	Minor	8 (2/6)	The serum concentration of Digoxin can be increased when it is combined with Spironolactone.	#6D9CC7	2.30640604278383	8.35899316525189e-21
Spironolactone	Enalapril	0.444	1.401	Major	14 (8/6)	The risk or severity of adverse effects can be increased when Spironolactone is combined with Enalapril.	#F2ACAC	4.03621057487171	1.19660636359478e-25
Digoxin	Furosemide	0.523	-2.856	Moderate	8 (2/6)	The risk or severity of adverse effects can be increased when Furosemide is combined with Digoxin.	#6D9CC7	2.30640604278383	3.71154930695536e-20
Valproic acid	Carbamazepine	0.277	-1.277	Moderate	96 (41/55)	The serum concentration of the active metabolites of Carbamazepine can be increased when Carbamazepine is used in combination with Valproic Acid.	#A9C9E1	27.676872513406	1.32369849230315e-119
Cyclosporine	Diltiazem	0.3	Inf	Moderate	1 (1/0)	The metabolism of Cyclosporine can be decreased when combined with Diltiazem.	#B32020	0.288300755347979	0.659805464820033
Pseudoephedrine	Bromocriptine	1	Inf	Moderate	1 (1/0)	Bromocriptine may increase the hypertensive and vasoconstricting activities of Pseudoephedrine.	#B32020	0.288300755347979	0.0739027088555393
Digoxin	Carvedilol	0.601	-3.808	Moderate	5 (1/4)	Digoxin may increase the bradycardic activities of Carvedilol.	#4880B7	1.4415037767399	1.14363253290225e-12
Lovastatin	Acenocoumarol	0.75	1.05	None	2 (1/1)	The metabolism of Acenocoumarol can be decreased when combined with Lovastatin.	#F8BABA	0.576601510695958	0.000438751892252237
Methotrexate	Hydroxychloroquine	0.352	1.576	Minor	5 (3/2)		#EFA6A6	1.4415037767399	2.58859971492257e-10
Tolmetin	Methotrexate	0.077	Inf	Major	1 (1/0)	The serum concentration of Methotrexate can be increased when it is combined with Tolmetin.	#B32020	0.288300755347979	0.159923311999027
Verapamil	Atorvastatin	1	Inf	Moderate	1 (1/0)	Atorvastatin can cause a decrease in the absorption of Verapamil resulting in a reduced serum concentration and potentially a decrease in efficacy.	#B32020	0.288300755347979	0.248394018054254
Diltiazem	Atorvastatin	0.833	-2.856	Moderate	4 (1/3)	The serum concentration of Diltiazem can be increased when it is combined with Atorvastatin.	#6D9CC7	1.15320302139192	9.86883158235051e-09
Lamotrigine	Carbamazepine	0.359	1.471	Moderate	12 (7/5)	The risk or severity of adverse effects can be increased when Lamotrigine is combined with Carbamazepine.	#F0A9A9	3.45960906417575	1.21570165194799e-14
Simvastatin	Gemfibrozil	0.562	Inf	Major	2 (2/0)	The risk or severity of rhabdomyolysis. myoglobinuria. and elevated creatine kinase (CPK) can be increased when Gemfibrozil is combined with Simvastatin.	#B32020	0.576601510695958	0.0854214318764349
Propranolol	Ergotamine	0.583	1.05	Moderate	2 (1/1)	Ergotamine may increase the atrioventricular blocking (AV block) activities of Propranolol.	#F8BABA	0.576601510695958	0.00591475958431171
Phenytoin	Lamotrigine	0.528	1.05	Moderate	2 (1/1)	The serum concentration of Lamotrigine can be decreased when it is combined with Phenytoin.	#F8BABA	0.576601510695958	0.00930854863615614
Omeprazole	Methotrexate	0.322	1.48	Major	53 (31/22)	The serum concentration of Methotrexate can be increased when it is combined with Omeprazole.	#F0A9A9	15.2799400334429	1.73347229656369e-40
Rizatriptan	Escitalopram	0.333	Inf	Major	1 (1/0)	The risk or severity of adverse effects can be increased when Rizatriptan is combined with Escitalopram.	#B32020	0.288300755347979	0.702436081971525
Tramadol	Citalopram	1	Inf	Major	3 (3/0)	Citalopram may increase the neuroexcitatory activities of Tramadol.	#B32020	0.864902266043937	0.00490764027261788
Cyclosporine	Sulfamethoxazole	0.358	1.444	Major	19 (11/8)	Sulfamethoxazole may increase the nephrotoxic activities of Cyclosporine.	#F1ABAB	5.4777143516116	2.19669513233615e-20
Citalopram	Rizatriptan	0.5	Inf	Major	1 (1/0)	The risk or severity of adverse effects can be increased when Citalopram is combined with Rizatriptan.	#B32020	0.288300755347979	0.798995129188663
Acetylsalicylic acid	Ginkgo biloba	1	Inf	Moderate	2 (2/0)	Ginkgo biloba may increase the anticoagulant activities of Acetylsalicylic acid.	#B32020	0.576601510695958	0.0241687126314561
Carbamazepine	Isotretinoin	0.045	Inf	Moderate	1 (1/0)		#B32020	0.288300755347979	0.897159807659221
Topiramate	Carbamazepine	0.115	-1.333	Moderate	12 (5/7)	The serum concentration of Topiramate can be decreased when it is combined with Carbamazepine.	#A8C8E1	3.45960906417575	1.06776143404971e-13
Diclofenac	Alendronic acid	1	Inf	Moderate	2 (2/0)	The risk or severity of adverse effects can be increased when Diclofenac is combined with Alendronic acid.	#B32020	0.576601510695958	0.134310757743699
Ezetimibe	Cholestyramine	0.052	1.05	Moderate	2 (1/1)	Cholestyramine can cause a decrease in the absorption of Ezetimibe resulting in a reduced serum concentration and potentially a decrease in efficacy.	#F8BABA	0.576601510695958	0.00921094790995118
Atomoxetine	Fluoxetine	0.152	-1.523	Major	13 (5/8)	The serum concentration of Atomoxetine can be increased when it is combined with Fluoxetine.	#A0C3DD	3.74790981952373	5.15024925757282e-10
Diltiazem	Tacrolimus	0.625	Inf	Moderate	2 (2/0)	The metabolism of Tacrolimus can be decreased when combined with Diltiazem.	#B32020	0.576601510695958	0.773979536455851
Spironolactone	Losartan	0.75	1.05	Major	2 (1/1)	The risk or severity of adverse effects can be increased when Spironolactone is combined with Losartan.	#F8BABA	0.576601510695958	0.0328951166429287
Citalopram	Pimozide	0.125	Inf	Major	1 (1/0)	The risk or severity of QTc prolongation can be increased when Citalopram is combined with Pimozide.	#B32020	0.288300755347979	1
Acetylsalicylic acid	Gliclazide	0.875	-2.856	None	4 (1/3)	Acetylsalicylic acid may increase the hypoglycemic activities of Gliclazide.	#6D9CC7	1.15320302139192	7.87788652001994e-07
Fluoxetine	Risperidone	0.334	-4.919	Moderate	37 (6/31)	The metabolism of Risperidone can be decreased when combined with Fluoxetine.	#1E61A5	10.6671279478752	8.64488103959942e-34
Carbamazepine	Risperidone	0.307	-2.023	Moderate	25 (8/17)	The serum concentration of Risperidone can be decreased when it is combined with Carbamazepine.	#8CB4D5	7.20751888369948	7.60104579695092e-14
Methotrexate	Sulfamethoxazole	0.453	-1.206	Moderate	34 (15/19)	The risk or severity of adverse effects can be increased when Sulfamethoxazole is combined with Methotrexate.	#ACCCE3	9.80222568183129	4.99441267343499e-24
Cyclosporine	Atorvastatin	0.364	Inf	Major	1 (1/0)	The serum concentration of Atorvastatin can be increased when it is combined with Cyclosporine.	#B32020	0.288300755347979	1
